player,entity_id,crypto_filings_senate,first_year,last_year,total_all_issue_spend,crypto_term_in_name,tier
NORTHERN TRUST CORPORATION,client:193597,26,2022,2026,1800000,no,core
"Meta Platforms, Inc.",client:105281,25,2022,2023,15021250,no,core
Moody's Corporation,client:212702,25,2022,2026,2840000,no,core
AICPA Association of International Certified Professional Accountants,client:192162,24,2022,2026,22669000,no,core
"Paxos Trust Company, LLC",client:50986,24,2022,2026,1340000,no,core
WEB 3.0 TECHNOLOGIES FOUNDATION,client:52966,24,2022,2025,1130000,no,core
Electronic Payments Coalition,client:109921,23,2024,2026,24400000,no,core
"BlackRock Funds Services Group, LLC",client:172555,23,2022,2026,10900000,no,core
FMR LLC,client:101067,23,2022,2026,10510000,no,core
Regions Financial Corporation,client:167106,23,2022,2026,7100000,no,core
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",client:53527,23,2022,2025,4711000,no,core
Western Union,client:109734,23,2022,2024,3449480,no,core
PAYWARD INC D/B/A KRAKEN,client:45920,23,2022,2026,1370000,no,core
"Cornerstone Government Affairs obo Circle Internet Financial, Inc.",client:57791,23,2023,2026,,no,core
Accenture Federal Services LLC,client:103471,22,2022,2025,4130000,no,core
Solana Policy Institute,client:65894,22,2025,2026,2370000,yes,core
Circle,client:212787,22,2022,2026,2150000,no,core
ConsenSys Software Inc.,client:211873,22,2022,2025,1047700,no,core
UNISWAP LABS,client:51758,22,2022,2026,640000,no,core
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS",client:115381,21,2022,2026,20119746,no,core
"Nasdaq, Inc.",client:105276,21,2022,2026,9535000,no,core
American Express Company,client:100904,21,2022,2026,6490000,no,core
Americans for Financial Reform,client:202954,21,2022,2025,2330000,no,core
"UNIVERSAL NAVIGATION, INC. (D/B/A UNISWAP LABS)",client:52732,21,2022,2026,870000,no,core
Binance Holdings Limited,client:53862,20,2022,2026,2450000,no,core
Polygon Labs Services (Switzerland) AG,client:55284,20,2023,2025,770000,no,core
INDEPENDENT COMMUNITY BANKERS OF AMERICA,client:126309,19,2022,2026,19261826,no,core
Consumer Technology Association,client:100900,19,2023,2026,17420000,no,core
"FORIS DAX, INC & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",client:50172,19,2022,2026,5990000,yes,core
Shopify,client:204893,19,2022,2026,3490000,no,core
Public Citizen,client:140490,19,2022,2026,1376315,no,core
"Hedera Hashgraph, LLC",client:211959,19,2022,2026,710000,no,core
"ATMOSPHERE I, LLC, FORMERLY IGNEIO, LLC",client:185900,19,2022,2026,660000,no,core
"GLOBAL TRADING SYSTEMS, LLC",client:202190,19,2022,2026,340000,no,core
Amazon.com Services LLC,client:158902,18,2022,2026,77570000,no,core
American Association for Justice,client:104895,18,2022,2026,21830000,no,core
Managed Funds Association,client:114613,18,2022,2026,20420000,no,core
JPMorgan Chase Holdings LLC,client:163074,18,2022,2026,15330000,no,core
WESTERN ALLIANCE BANCORPORATION,client:50800,18,2022,2026,2050000,no,core
"BAM Trading Services, Inc./Binance.US",client:211941,18,2022,2024,1425000,no,core
American Transaction Processors Coalition,client:178379,18,2022,2025,1400000,no,core
GALAXY DIGITAL HOLDINGS LP,client:50770,18,2022,2026,1260000,no,core
Cedar Innovation Foundation,client:57728,18,2023,2026,850000,no,core
LMAX Group,client:52997,18,2022,2026,710000,no,core
AARP,client:102643,17,2022,2026,77050000,no,core
Bank of America Corporation,client:134187,17,2022,2026,12280000,no,core
STATE STREET BANK AND TRUST COMPANY AND ITS AFFILIATES,client:172156,17,2022,2026,7600000,no,core
Electronic Transactions Association,client:149027,17,2022,2025,6990000,no,core
"Cboe Global Markets, Inc.",client:155343,17,2022,2026,2910000,no,core
Insured Retirement Institute,client:176111,17,2022,2026,2900000,no,core
Cross River Bank,client:202974,17,2022,2026,2316000,no,core
VaultLink Inc.,client:211661,17,2022,2026,1530000,no,core
COMMUNITY BANKERS ASSOCIATION OF ILLINOIS,client:192301,17,2022,2026,1060000,no,core
CROWE LLP,client:200249,17,2022,2026,930000,no,core
"MARATHON DIGITAL HOLDINGS, INC.",client:213187,17,2022,2026,770000,no,core
"OZONE NETWORKS, INC. D/B/A OPENSEA",client:52072,17,2022,2026,660000,no,core
MICHIGAN CREDIT UNION LEAGUE,client:132774,17,2022,2026,430000,no,core
AngelList,client:177215,17,2022,2026,410000,no,core
Consumer Bankers Association,client:114369,16,2022,2026,16260000,no,core
Morgan Stanley & Co. LLC,client:133644,16,2022,2026,16080000,no,core
Financial Services Forum,client:101299,16,2022,2026,11208000,no,core
Leadership Conference on Civil and Human Rights,client:129233,16,2022,2025,7850000,no,core
"GLOBAL PAYMENTS, INC.",client:171265,16,2022,2026,3580000,no,core
TAXBIT INC.,client:44931,16,2022,2025,1920000,no,core
BITCOIN ASSOCIATION FOR BSV,client:191373,16,2022,2026,1840000,yes,core
"LAW OFFICES OF MICHAEL JASON LEE, APLC (ON BEHALF OF TETHER OPERATIONS LIMITED)",client:45110,16,2022,2024,1440000,no,core
MoneyGram International Inc.,client:132974,16,2022,2026,1320000,no,core
Mastercard International Incorporated,client:143682,16,2022,2026,1100000,no,core
"Tether Operations, S.A. de C.V.",client:64477,16,2025,2026,880000,no,core
FIDELITY INVESTMENTS,client:167102,16,2022,2025,560000,no,core
"ORCHID LABS, INC.",client:51252,16,2022,2026,510000,no,core
Wells Fargo & Company,client:134745,15,2022,2026,16290000,no,core
HSBC TECHNOLOGY AND SERVICES USA INC.,client:125823,15,2022,2026,6500000,no,core
MELLON FINANCIAL SERVICES CORPORATION #1,client:132593,15,2022,2026,6370000,no,core
HUNTINGTON BANCSHARES INCORPORATED,client:169956,15,2022,2026,1913000,no,core
Credit Suisse Securities (USA) LLC,client:106761,15,2022,2023,1600000,no,core
AMERICAN SECURITIES ASSOCIATION,client:208145,15,2022,2026,1390000,no,core
JARDEN ZINC PRODUCTS,client:185269,15,2022,2026,890000,no,core
Chamber of Progress,client:211714,15,2023,2026,875000,no,core
DIGITAL ASSET (US) CORP,client:55431,15,2023,2026,410000,yes,core
"Sujitech, LLC",client:52860,15,2022,2026,40000,no,core
CHAMBER OF COMMERCE OF THE U.S.A.,client:146969,14,2022,2026,311610000,no,core
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,client:106452,14,2023,2026,11790000,no,core
Fifth Third Bancorp,client:175028,14,2022,2026,5412164,no,core
"IEX Group, Inc.",client:208621,14,2022,2024,3980000,no,core
"Stripe, Inc.",client:187780,14,2022,2026,3145000,no,core
"GRAYSCALE INVESTMENTS, LLC",client:54632,14,2023,2026,770000,no,core
COINFLIP,client:207878,14,2022,2026,720000,no,core
"FORIS DAX MARKETS, INC. DBA CRYPTO.COM",client:54090,14,2023,2026,670000,yes,core
Bank Policy Institute,client:106185,13,2022,2026,12000000,no,core
Ernst & Young LLP,client:160225,13,2023,2026,9250000,no,core
U.S. Bancorp,client:147171,13,2023,2026,6080000,no,core
"FRANKLIN RESOURCES, INC. (FRANKLIN TEMPLETON) AND AFFILIATES",client:55667,13,2023,2026,3980000,no,core
NCR VOYIX CORPORATION (FKA NCR CORPORATION),client:112453,13,2022,2023,750000,no,core
DYDX TRADING INC.,client:52040,13,2022,2025,690000,no,core
"CLEANSPARK, INC",client:61451,13,2024,2026,460000,no,core
Proof of Stake Alliance,client:137881,13,2022,2024,360000,no,core
BITWISE ASSET MANAGEMENT,client:212967,13,2022,2025,320000,no,core
INSTITUTE OF INTERNAL AUDITORS,client:55435,13,2023,2026,290000,no,core
NEW YORK STATE BAR ASSOCIATION,client:205228,13,2023,2026,210000,no,core
COMMITTEE ON CAPITAL MARKETS REGULATION,client:127110,13,2023,2026,200000,no,core
ATOLLetc LLC,client:203797,13,2023,2026,,no,core
PwC US Group LLP,client:105291,12,2023,2026,18080000,no,core
IBM,client:112795,12,2022,2024,2135000,no,core
"BNP PARIBAS RCC, INC.",client:203029,12,2023,2025,1580000,no,core
"West Realm Shires Services, Inc. d/b/a FTX US",client:213265,12,2022,2022,690000,no,core
Ledger SAS,client:54270,12,2023,2026,450000,no,core
FALCONX BRAVO INC.,client:57159,12,2023,2026,440000,no,core
Sorare SAS,client:53505,12,2022,2024,400000,no,core
"EXODUS MOVEMENT, INC.",client:212660,12,2022,2026,390000,no,core
Flexa Inc.,client:54217,12,2023,2025,390000,no,core
"NORTH ISLAND VENTURES, LLC",client:56799,12,2023,2026,380000,no,core
Paradigm,client:52493,12,2022,2023,370000,no,core
"COINREGTECH, LLC",client:201340,12,2022,2024,40000,no,core
SIEVAKO,client:52877,12,2022,2024,,no,core
National Football League,client:114996,11,2022,2026,6620000,no,core
S&P Global,client:117721,11,2023,2026,6565000,no,core
Mastercard,client:127087,11,2022,2026,3815000,no,core
Humanity Forward,client:207921,11,2022,2022,1225500,no,core
CF Secured LLC,client:58376,11,2023,2026,1210000,no,core
THE CLEARING HOUSE ASSOCIATION,client:206022,11,2022,2026,714000,no,core
"MAYER BROWN LLP OBO CIRCLE INTERNET FINANCIAL, INC.",client:57774,11,2023,2026,650000,no,core
GPD Holdings LLC d/b/a CoinFlip,client:64019,11,2025,2026,570000,no,core
NATIONAL TAXPAYERS UNION,client:134577,11,2022,2025,480000,no,core
"TRM LABS, INC.",client:65365,11,2025,2026,293000,no,core
CHIA NETWORKS,client:212788,11,2022,2023,280000,no,core
Digital Energy Council,client:60832,11,2024,2026,140000,no,core
Americans for Prosperity,client:101301,10,2022,2025,6770000,no,core
LONDON STOCK EXCHANGE GROUP,client:172571,10,2024,2026,3300000,no,core
CENTER FOR RESPONSIBLE LENDING A SUPPORTING CORP OF CTR FOR COMMUNITY SELF-HELP,client:174857,10,2022,2025,1402000,no,core
"SWIFT, INC.",client:172558,10,2022,2024,1020000,no,core
STANDARD CHARTERED BANK,client:203112,10,2025,2026,950000,no,core
JUMP CRYPTO HOLDINGS LLC,client:66674,10,2025,2026,810000,yes,core
THE INSTITUTE OF INTERNAL AUDITORS,client:201734,10,2023,2025,750000,no,core
MELLON FINANCIAL SERVICES CORPORTATION #1,client:54979,10,2023,2026,630000,no,core
Decentralization Research Center,client:63505,10,2025,2026,510000,no,core
GLOBAL DIGITAL ASSET & CRYPTOCURRENCY ASSOCIATION D.B.A GLOBAL DCA,client:211496,10,2022,2024,470000,yes,core
TRANSPARENCY INTERNATIONAL U.S. (A PROJECT OF THE FUND FOR CONSTITUTIONAL GOVT),client:51836,10,2023,2026,440000,no,core
UNICOIN,client:66054,10,2025,2026,410000,no,core
BRALE INC.,client:52652,10,2022,2024,390000,no,core
TRON BLOCKCHAIN AND DAO (AS SUPPORTED BY TRON TECH LIMITED AND RAINCO PTE LTD.),client:61280,10,2024,2025,370000,yes,core
PROSUS GROUP N.V.,client:44513,10,2022,2024,360000,no,core
"Securitize, Inc.",client:56523,10,2023,2025,240000,no,core
"CHIA NETWORK, INC.",client:211958,10,2022,2024,140000,no,core
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),client:126409,9,2022,2023,20600000,no,core
"Charles Schwab & Co., Inc.",client:143001,9,2022,2026,14720000,no,core
TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),client:167500,9,2022,2026,11765000,no,core
TECHNOLOGY NETWORK AKA TECHNET,client:164266,9,2023,2025,10050000,no,core
National Association of Federally-Insured Credit Unions,client:134228,9,2022,2023,8530000,no,core
"SMBC AMERICAS HOLDINGS, INC.",client:59758,9,2024,2026,3720000,no,core
The PNC Financial Services Group,client:138290,9,2022,2026,3070000,no,core
FDD ACTION,client:203727,9,2022,2025,2270000,no,core
Bitdeer Technologies Group,client:67363,9,2025,2026,1220000,no,core
OKCOIN USA INC.,client:55442,9,2023,2025,720000,no,core
SmartContract Inc.,client:64706,9,2025,2026,585000,no,core
THE PAYMENT CHOICE COALITION,client:60925,9,2024,2026,440000,no,core
ECURRENCY,client:204105,9,2022,2024,400000,no,core
"WILLIAMS AND JENSEN, PLLC ON BEHALF OF RIPPLE LABS, INC.",client:208915,9,2022,2024,290000,yes,core
SOLANA FOUNDATION,client:56342,9,2023,2025,290000,yes,core
ATLAS CROSSING LLC O/B/O GLOBAL DIGITAL ASSET & CRYPTOCURRENCY ASSOCIATION,client:211518,9,2022,2024,180000,yes,core
GENRAE,client:52587,9,2022,2024,130000,no,core
SAGINT,client:67101,9,2025,2026,110000,no,core
Prometheum,client:54561,9,2023,2024,50000,no,core
GOVERNMENT BLOCKCHAIN ASSOCIATION,client:209998,9,2022,2024,,yes,core
Investment Company Institute,client:104395,8,2025,2026,21056510,no,core
"Accenture, LLP",client:101282,8,2022,2022,9120000,no,core
Association of National Advertisers,client:104888,8,2022,2025,7330000,no,core
Alternative Investment Management Association,client:140247,8,2022,2026,3310000,no,core
"VMware, Inc.",client:151835,8,2022,2023,3290000,no,core
Visa U.S.A. Inc.,client:101000,8,2025,2026,2190000,no,core
Worldpay,client:59668,8,2024,2026,880000,no,core
BLOCKCHAINS INC.,client:213660,8,2022,2022,730000,yes,core
CRUSOE TECHNOLOGIES (FKA CRUSOE ENERGY),client:55294,8,2023,2024,570000,no,core
"MULTICOIN CAPITAL MANAGEMENT, LLC",client:61378,8,2024,2026,550000,no,core
U.S. CHAMBER OF COMMERCE - C_TEC AND CCMC,client:209505,8,2022,2023,530000,no,core
"Coinbase Global, Inc.",client:58422,8,2023,2025,510000,no,core
"BLOCKCHAIN (US), INC.",client:63460,8,2024,2026,480000,yes,core
Chamber of Digital Commerce,client:210973,8,2022,2023,390000,no,core
ANCHORAGE DIGITAL BANK,client:61052,8,2024,2025,370000,no,core
FIR TREE PARTNERS,client:213682,8,2022,2023,350000,no,core
MULTICOIN CAPITAL,client:61485,8,2024,2026,350000,no,core
WAVE DIGITAL ASSETS HOLDINGS LLC,client:63052,8,2024,2026,220000,yes,core
Celo Foundation,client:212861,8,2022,2022,208500,no,core
PAYSAFE PAYMENT PROCESSING SOLUTIONS LLC,client:60988,8,2024,2026,140000,no,core
WISDOMTREE DIGITAL MANAGEMENT,client:64684,8,2025,2026,130000,no,core
"Nova Labs, Inc.",client:58202,8,2024,2025,111000,no,core
CHAMBER OF DIGITAL COMMERCE D/B/A THE DIGITAL CHAMBER,client:52882,8,2022,2026,50000,no,core
"SF OPERATIONS, INC",client:63914,8,2024,2025,45000,no,core
BILLMARI INC. / DBA BLACK BLOCKCHAIN SUMMIT,client:61285,8,2024,2026,,yes,core
LIBERLAND,client:56303,8,2023,2024,,no,core
GOLDMAN SACHS GROUP INC,client:163042,7,2025,2026,18060000,no,active
OPTIONS CLEARING CORPORATION (OCC),client:163321,7,2023,2025,5720000,no,active
American Land Title Association,client:103590,7,2022,2026,4987000,no,active
CITIZENS FINANCIAL GROUP INC,client:178427,7,2022,2026,4070000,no,active
HERITAGE ACTION FOR AMERICA,client:193525,7,2023,2025,2550000,no,active
LIVE OAK BANK,client:185014,7,2024,2026,2505000,no,active
CITADEL ENTERPRISE AMERICAS SERVICES LLC,client:51040,7,2022,2026,1700000,no,active
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",client:137796,7,2023,2024,1355000,no,active
ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS (AICPA),client:205579,7,2022,2026,720000,no,active
Roger Ver,client:63927,7,2025,2025,670000,no,active
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,7,2024,2026,500000,no,active
ALGORAND INC.,client:187798,7,2022,2023,330000,no,active
CENTER FOR AMERICAN PROGRESS ACTION FUND,client:175013,7,2022,2026,320000,no,active
"ROCKWALLET, LLC",client:61664,7,2024,2025,290000,no,active
"MYSTEN LABS, INC.",client:67096,7,2025,2026,290000,no,active
WHITE STAR CAPITAL USA INC.,client:66777,7,2025,2025,225000,no,active
"Metrika, Inc.",client:67406,7,2025,2026,53000,no,active
"Avalanche BVI, Inc.",client:64420,7,2025,2025,46000,no,active
CRYPTEX FINANCE,client:67899,7,2025,2026,,no,active
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES,client:103548,6,2024,2026,10600000,no,active
Food Marketplace Inc.,client:120846,6,2022,2026,6540000,no,active
American Benefits Council,client:104889,6,2022,2023,5367200,no,active
Financial Industry Regulatory Authority,client:172525,6,2025,2026,2440000,no,active
AMERICANS FOR TAX REFORM,client:103702,6,2023,2026,880000,no,active
FALCONX INC.,client:63977,6,2025,2026,580000,no,active
"BLOCKRATIZE, INC.",client:66115,6,2025,2026,450000,no,active
ZERO HASH,client:61509,6,2024,2025,400000,no,active
"A16Z CAPITAL MANAGEMENT, L.L.C. (D/B/A ANDREESSEN HOROWITZ) FKA AH CAPITAL MGMT",client:65079,6,2025,2026,350000,no,active
"GEMINI TRUST COMPANY, LLC",client:213382,6,2022,2023,320000,no,active
STRATEGY (F/K/A MICROSTRATEGY INC.),client:64905,6,2025,2026,310000,no,active
MOONPAY USA LLC,client:66427,6,2025,2026,270000,no,active
BITCOIN DEPOT OPERATING LLC,client:65559,6,2025,2026,230000,yes,active
"BAKKT HOLDINGS, INC.",client:54192,6,2022,2023,212000,no,active
"BALCONY TECHNOLOGY GROUP, INC.",client:58683,6,2024,2025,130000,no,active
Satoshi Action Fund,client:65549,6,2025,2026,117500,no,active
TAYLOR ENGLISH DUMA LLP,client:213432,6,2022,2023,100000,no,active
VALID ENTRY,client:57545,6,2023,2024,30000,no,active
INDEPENDENT BANKERS ASSOCIATION OF TEXAS,client:63897,6,2025,2026,21000,no,active
"CAT LABS, INC",client:59586,6,2024,2026,20000,no,active
"LANEAXIS, INC.",client:51036,6,2022,2022,20000,no,active
Phinance.Gold,client:68151,6,2025,2025,,no,active
National Retail Federation,client:134533,5,2025,2026,39276000,no,active
Bipartisan Policy Center Action,client:189530,5,2022,2023,11186298,no,active
Retail Industry Leaders Association (RILA),client:126459,5,2022,2022,8970000,no,active
KPMG LLP,client:128763,5,2025,2026,8860000,no,active
International Franchise Association,client:154896,5,2024,2025,6150000,no,active
KeyCorp,client:188831,5,2025,2026,4040000,no,active
Barclays US GPF Inc.,client:195819,5,2022,2023,3260000,no,active
UBS AMERICAS INC,client:170235,5,2025,2026,2450000,no,active
"FEDERATED HERMES, INC. (FORMERLY KNOWN AS FEDERATED INVESTORS, INC.)",client:177995,5,2025,2026,2039593,no,active
CALIFORNIA AND NEVADA CREDIT UNION LEAGUES,client:110901,5,2023,2026,1870000,no,active
The Depository Trust & Clearing Corporation,client:206068,5,2025,2026,1710000,no,active
"SoFi Technologies, Inc.",client:55991,5,2025,2026,1460000,no,active
APPLIED DIGITAL,client:52215,5,2022,2023,800000,no,active
TETHER OPERATIONS LIMITED,client:54177,5,2023,2023,600000,no,active
"CBOE BATS, LLC",client:56776,5,2023,2024,550000,no,active
COMMON CAUSE,client:114110,5,2025,2026,510000,no,active
BITDEER,client:65204,5,2025,2026,500000,no,active
"PAYWARD, INC. DBA KRAKEN",client:67389,5,2025,2026,300000,no,active
"ORCHID GLOBAL, INC.",client:212196,5,2022,2023,300000,no,active
"FIGURE MARKETS, INC.",client:67117,5,2025,2026,270000,no,active
TECHNEST SOLUTIONS S.L.A. DBA FORTRIS,client:66518,5,2025,2025,270000,no,active
BLOCKDAEMON,client:65627,5,2025,2025,260000,no,active
SILVERGATE BANK,client:207682,5,2022,2023,210000,no,active
WINTERMUTE TRADING LTD.,client:68550,5,2025,2026,200000,no,active
PHANTOM,client:66970,5,2025,2026,190000,no,active
KILN USA INC,client:65058,5,2025,2026,185000,no,active
IOHK USA LLC,client:66143,5,2025,2026,162500,no,active
BITCOIN POLICY INSTITUTE,client:66948,5,2025,2026,140000,yes,active
GREENIDGE GENERATION HOLDINGS INC.,client:44645,5,2022,2022,140000,no,active
NATIXIS NORTH AMERICA LLC,client:208990,5,2022,2026,140000,no,active
Kozolchyk National Law Center,client:209225,5,2022,2023,120000,no,active
"CROSSOVER MARKETS GROUP, INC",client:67982,5,2025,2026,120000,no,active
Athena Bitcoin,client:58636,5,2024,2024,111500,yes,active
GARRISON FATHOM,client:67559,5,2025,2026,110000,no,active
"FREEDOMWORKS, INC.",client:113315,5,2022,2023,110000,no,active
LEDGER,client:63457,5,2024,2025,102500,no,active
FIAT CHAIN HOLDINGS LLC,client:67048,5,2025,2026,100000,no,active
Nest Services Limited (Binance),client:66906,5,2025,2025,90000,no,active
"TETHER HOLDINGS, S.A. DE C.V.(FORMERLY KNOWN AS TETHER OPERATIONS, S.A. DE C.V.)",client:64876,5,2025,2025,90000,no,active
BPCE SA,client:211878,5,2022,2026,80000,no,active
BITMAIN DELAWARE HOLDING COMPANY INC,client:67100,5,2025,2026,80000,no,active
"FEDERAL HALL POLICY ADVISORS, LLC ON BEHALF OF SOLANA POLICY INSTITUTE",client:67742,5,2025,2026,50000,yes,active
HELIUM FOUNDATAION (DECENTRALIZED WIRELESS FOUNDATION),client:63171,5,2024,2025,50000,no,active
VIAMERICAS,client:66968,5,2025,2026,40000,no,active
DIGITAL SOVEREIGNTY ALLIANCE,client:65329,5,2025,2025,20000,no,active
PRIME TRUST LLC,client:52522,5,2022,2023,,no,active
"Veritaseum Inc.,",client:64358,5,2025,2026,,no,active
Blockchain Domain Names LLC,client:54306,5,2023,2023,,yes,active
"Cornerstone Government Affairs obo Stripe, Inc.",client:61696,5,2025,2026,,no,active
BCE CORPORATION PMC,client:57863,5,2023,2024,,no,active
"Meta Platforms, Inc. and various subsidiaries",client:191116,4,2022,2022,96250000,no,active
STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,client:61287,4,2024,2025,80000000,no,active
"American Airlines, Inc.",client:100462,4,2025,2026,20300000,no,active
Equifax Inc.,client:101140,4,2025,2025,7210000,no,active
"The Goldman Sachs Group, Inc.",client:179410,4,2025,2026,3140000,no,active
Institute of International Bankers,client:113638,4,2025,2026,2557610,no,active
"Pathward, N.A.",client:203311,4,2025,2026,2470000,no,active
"H&R Block Management, LLC",client:162992,4,2025,2026,2390000,no,active
INTERNATIONAL SWAPS & DERIVATIVES ASSOCIATION INC,client:126466,4,2025,2026,1869243,no,active
"GENERAL CATALYST GROUP MANAGEMENT, LLC",client:61117,4,2025,2026,1760000,no,active
M&T Bank Corporation,client:181403,4,2025,2026,1620000,no,active
"CHRIS KISE & ASSOCIATES, P.A. ON BEHALF OF ROGER VER",client:68611,4,2025,2026,1500000,no,active
"NOTARIZE, INC. DBA PROOF.COM",client:207366,4,2025,2026,1250000,no,active
COWEN GROUP,client:194104,4,2022,2022,1020000,no,active
TRUIST,client:184591,4,2025,2026,1020000,no,active
Defense Credit Union Council,client:194941,4,2025,2026,1010000,no,active
"NASDAQ OMX GROUP (FORMERLY ""THE NASDAQ STOCK MARKET"")",client:140650,4,2025,2025,960000,no,active
OTC MARKETS GROUP,client:55899,4,2023,2023,720000,no,active
GLEIF AMERICAS,client:207044,4,2025,2026,710000,no,active
"Razom, Inc.",client:52065,4,2022,2022,420000,no,active
META PLATFORMS INC (FORMERLY FACEBOOK INC AND VARIOUS SUBSIDIARIES,client:184332,4,2022,2022,405000,no,active
FACT COALITION (A PROJECT OF THE FUND FOR CONSTITUTIONAL GOVERNMENT),client:202988,4,2025,2026,340000,no,active
BLOCK INC FORMERLY REPORTED AS SQUARE INC,client:205583,4,2023,2023,270000,no,active
AAVE LLC,client:213067,4,2022,2023,260000,no,active
AURADINE,client:68912,4,2025,2026,240000,no,active
"IOWNIT CAPITAL AND MARKETS, INC.",client:105317,4,2022,2022,210000,no,active
XAPO BANK LIMITED,client:68967,4,2025,2026,200000,no,active
CB Bancshares Corp,client:66575,4,2025,2026,190000,no,active
"PUDGY PENGUINS, INC.",client:69234,4,2025,2026,190000,no,active
MATONEE INC. (D/B/A APTOS LABS,client:65044,4,2025,2026,180000,no,active
"BAUGHMAN KROUP BOSSE PLLC ON BEHALF OF GEMINI SPACE STATION, INC.",client:69134,4,2025,2026,180000,no,active
U.S. PUBLIC INTEREST RESEARCH GROUP,client:146972,4,2022,2022,150000,no,active
"BLACKROCK FUNDS SERVICES, LLC.",client:69898,4,2025,2026,140000,no,active
DEFI EUDCATION FUND,client:64795,4,2025,2025,135000,yes,active
FTX,client:51936,4,2022,2022,120000,no,active
"RAPOSA RESEARCH, INC.",client:56620,4,2023,2023,110000,no,active
OKBL USA HOLDING INC.,client:68418,4,2025,2026,100000,no,active
TIGER HILL PARTNERS ON BEHALF OF IEX GROUP,client:210102,4,2022,2022,91000,no,active
TECHNEST SOLUTIONS S.L.A. DBA FORTRIS ON BEHALF OF NEXUSONE CONSULTING,client:66542,4,2025,2025,90000,no,active
BAM TRADING SERVICES INC. DBA BINANCE.US,client:66327,4,2025,2026,90000,no,active
O.N.E. AMAZON,client:69193,4,2025,2026,85000,no,active
THOMPSON COBURN LP ON BEHALF OF MEDICI VENTURES,client:200340,4,2022,2022,80000,no,active
"MEDICI VENTURES, INC.",client:154518,4,2022,2022,80000,no,active
European Banking Federation - EBF,client:177043,4,2022,2024,73000,no,active
"BIT5IVE, LLC",client:211591,4,2022,2022,37500,no,active
RAHUL SOOD,client:68835,4,2025,2026,,no,active
BLOCKCHAIN INTELLIGENCE GROUP,client:58573,4,2024,2024,,yes,active
"NETWORTH SERVICES, INC",client:136161,4,2022,2022,,no,active
Walmart Inc.,client:102066,3,2023,2024,31210000,no,active
