registrant,client,q_income,cite_uuid,registration_only,terminated_same_q,lda_public_url
"MILLER STRATEGIES, LLC",SIG SAUER INC,110000,d82ee572-0eac-4be6-ad2a-da77994f1f79,False,False,https://lda.senate.gov/filings/public/filing/d82ee572-0eac-4be6-ad2a-da77994f1f79/print/
MICHAEL BEST STRATEGIES LLC,The Nature Conservancy,110000,06f4547a-4f78-40ab-b2dd-621111c68f9d,False,False,https://lda.senate.gov/filings/public/filing/06f4547a-4f78-40ab-b2dd-621111c68f9d/print/
"CASSIDY & ASSOCIATES, INC.",VALHALLA IMPACT LLC,110000,ede882e0-fb85-4645-8f28-34b30e095f8a,False,False,https://lda.senate.gov/filings/public/filing/ede882e0-fb85-4645-8f28-34b30e095f8a/print/
BALLARD PARTNERS,3M Company,100000,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,False,False,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
BALLARD PARTNERS,ARENA INVESTORS LP,100000,792b1f5f-11cf-481d-9b2d-16e2d33df6ab,False,False,https://lda.senate.gov/filings/public/filing/792b1f5f-11cf-481d-9b2d-16e2d33df6ab/print/
CURRENT STRATEGIES,Brita,100000,0d731e4a-f20a-4867-b6fa-58a5f707005c,False,False,https://lda.senate.gov/filings/public/filing/0d731e4a-f20a-4867-b6fa-58a5f707005c/print/
ACG ADVOCACY,CHEMONICS INTERNATIONAL,100000,2a7f3e7b-10a1-4b93-b4ff-65f923467157,False,False,https://lda.senate.gov/filings/public/filing/2a7f3e7b-10a1-4b93-b4ff-65f923467157/print/
CONVERGE PUBLIC STRATEGIES,INSIGHT MANAGEMENT AND CONSULTING SERVICES,100000,2c4150bc-7201-4c19-b925-0ca51d0a34c6,False,False,https://lda.senate.gov/filings/public/filing/2c4150bc-7201-4c19-b925-0ca51d0a34c6/print/
CHECKMATE GOVERNMENT RELATIONS,"INTERNATIONAL MOTORS, LLC (FORMERLY NAVISTAR, INC)",100000,d88c1f3f-db87-45ae-9074-d261b7221666,False,False,https://lda.senate.gov/filings/public/filing/d88c1f3f-db87-45ae-9074-d261b7221666/print/
MERKAVA STRATEGIES CORPORATION,Joseph Schwartz,100000,406720b7-4ce6-4421-8c0c-c6f83d0b2fe0,False,False,https://lda.senate.gov/filings/public/filing/406720b7-4ce6-4421-8c0c-c6f83d0b2fe0/print/
SIDLEY AUSTIN LLP,KARYOPHARM THERAPEUTICS,100000,62a819c9-7fc7-47b9-baa7-668f6ce0ec9b,False,False,https://lda.senate.gov/filings/public/filing/62a819c9-7fc7-47b9-baa7-668f6ce0ec9b/print/
"RUBIN, TURNBULL & ASSOCIATES",PORT OF HOUSTON,100000,dede3c08-b8ea-45d0-83b0-82e9114ff3e9,False,False,https://lda.senate.gov/filings/public/filing/dede3c08-b8ea-45d0-83b0-82e9114ff3e9/print/
"LIBERTY PARTNERS GROUP, LLC","TRIMEDX, LLC",100000,21a5885d-f325-49d8-843c-3939cd3314c4,False,False,https://lda.senate.gov/filings/public/filing/21a5885d-f325-49d8-843c-3939cd3314c4/print/
"MO STRATEGIES, INC.","Team Hemp, Inc.",100000,33d180db-9e72-4a0b-bc1b-b56de42a8cfe,False,False,https://lda.senate.gov/filings/public/filing/33d180db-9e72-4a0b-bc1b-b56de42a8cfe/print/
"DRAKE VENTURES, LLC","UINTA BASIN RAILWAY HOLDINGS, LLC",100000,6e5a3b49-9d67-4d61-ad90-cdfe7d8dfb45,False,False,https://lda.senate.gov/filings/public/filing/6e5a3b49-9d67-4d61-ad90-cdfe7d8dfb45/print/
"MO STRATEGIES, INC.","WHITIM NAPA, LLC",100000,101fa7bc-b5f6-4377-af1e-8c96946eb08a,False,False,https://lda.senate.gov/filings/public/filing/101fa7bc-b5f6-4377-af1e-8c96946eb08a/print/
CARMEN GROUP INCORPORATED,WIN.IT AMERICA INC,100000,90707482-858b-47ac-a664-71cf2f196dab,False,False,https://lda.senate.gov/filings/public/filing/90707482-858b-47ac-a664-71cf2f196dab/print/
CHECKMATE GOVERNMENT RELATIONS,ZYGMUNT SOLORZ,100000,25b0b328-db48-411a-8ef2-9e32d56ed8e6,False,False,https://lda.senate.gov/filings/public/filing/25b0b328-db48-411a-8ef2-9e32d56ed8e6/print/
"CONTINENTAL STRATEGY, LLC",DARLING INGREDIENTS INC,99355,86e5061a-087c-49f6-a6ab-78c011dd91c3,False,False,https://lda.senate.gov/filings/public/filing/86e5061a-087c-49f6-a6ab-78c011dd91c3/print/
"CONTINENTAL STRATEGY, LLC","MCCORMICK & COMPANY, INCORPORATED",98065,a8977818-8216-4bed-ae01-d54daa9eff37,False,False,https://lda.senate.gov/filings/public/filing/a8977818-8216-4bed-ae01-d54daa9eff37/print/
CONVERGE PUBLIC STRATEGIES,ALLIANCE FOR PATIENT CARE,90000,979d9b5f-4d05-4235-8a5e-304139f6c987,False,False,https://lda.senate.gov/filings/public/filing/979d9b5f-4d05-4235-8a5e-304139f6c987/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ARCONIC CORPORATION,90000,56f13540-7e51-40bf-9b37-fdf471063b7d,False,False,https://lda.senate.gov/filings/public/filing/56f13540-7e51-40bf-9b37-fdf471063b7d/print/
MICHAEL BEST STRATEGIES LLC,"ASHLEY FURNITURE INDUSTRIES, LLC",90000,b2b861da-9c01-4192-a631-b26a3b9fec1a,False,False,https://lda.senate.gov/filings/public/filing/b2b861da-9c01-4192-a631-b26a3b9fec1a/print/
AKIN GUMP STRAUSS HAUER & FELD,ASSURED GUARANTY LTD,90000,b7dbf858-52cf-4801-9307-646c5472d438,False,False,https://lda.senate.gov/filings/public/filing/b7dbf858-52cf-4801-9307-646c5472d438/print/
"MERCURY PUBLIC AFFAIRS, LLC","BETTER SCHOOLS FOR A BETTER FUTURE, INC.",90000,04ad1807-398d-4642-9d8d-2e67887e6c8a,False,False,https://lda.senate.gov/filings/public/filing/04ad1807-398d-4642-9d8d-2e67887e6c8a/print/
COLLECTIVE STRATEGIES & COMMUNICATIONS,"CAPITOL COUNSEL, LLC ON BEHALF OF PERIMETER SOLUTIONS",90000,06474f4d-147d-47a9-8031-df5e93de7af5,False,False,https://lda.senate.gov/filings/public/filing/06474f4d-147d-47a9-8031-df5e93de7af5/print/
BALLARD PARTNERS,CERTREE,90000,efbc19bb-6c9f-410a-8f7f-19aacace034b,False,False,https://lda.senate.gov/filings/public/filing/efbc19bb-6c9f-410a-8f7f-19aacace034b/print/
"CROSSROADS STRATEGIES, LLC",COREWEAVE,90000,006a8d38-afa5-4bd2-b9ea-d2fff7382bf4,False,False,https://lda.senate.gov/filings/public/filing/006a8d38-afa5-4bd2-b9ea-d2fff7382bf4/print/
MISSION STRATEGIES LLC (ENERGY),"First Solar, Inc.",90000,6ba3b19a-721d-4592-b956-c553350ed55f,False,False,https://lda.senate.gov/filings/public/filing/6ba3b19a-721d-4592-b956-c553350ed55f/print/
BRIDGEWAY ADVOCACY,"INDIGO GLOBAL DEVELOPMENT, INC.",90000,52ef08c1-9c65-4c12-9a4c-0fd26d4a04fd,False,False,https://lda.senate.gov/filings/public/filing/52ef08c1-9c65-4c12-9a4c-0fd26d4a04fd/print/
BALLARD PARTNERS,JEMMSTONE LLC,90000,ea36307c-e5af-46e7-810b-5479cc344af2,False,False,https://lda.senate.gov/filings/public/filing/ea36307c-e5af-46e7-810b-5479cc344af2/print/
PERSPECTIVE STRATEGIES,LISBON VALLEY MINING CO.,90000,a930c980-2bfc-4d5c-b7ea-eaf423f5521f,False,False,https://lda.senate.gov/filings/public/filing/a930c980-2bfc-4d5c-b7ea-eaf423f5521f/print/
BALLARD PARTNERS,MAYER BROWN LLP ON BEHALF OF SYENSQO USA LLC,90000,09a507d5-76cd-4f44-9885-56544e3a2d07,False,False,https://lda.senate.gov/filings/public/filing/09a507d5-76cd-4f44-9885-56544e3a2d07/print/
"MILLER STRATEGIES, LLC",OCHSNER HEALTH,90000,720494e3-2312-466f-8a4a-a1263c35c3a1,False,False,https://lda.senate.gov/filings/public/filing/720494e3-2312-466f-8a4a-a1263c35c3a1/print/
PERSPECTIVE STRATEGIES,OFFCHAIN LABS INC,90000,e3de72a4-c03c-4f1e-851b-ae631772f2cc,False,False,https://lda.senate.gov/filings/public/filing/e3de72a4-c03c-4f1e-851b-ae631772f2cc/print/
CHECKMATE GOVERNMENT RELATIONS,"ORNSTEIN-SCHULER INVESTMENTS, LLC",90000,95e03c72-3c6e-4000-93af-672b80ce8f52,False,False,https://lda.senate.gov/filings/public/filing/95e03c72-3c6e-4000-93af-672b80ce8f52/print/
ALSTON & BIRD LLP,"OSSIUM HEALTH, INC.",90000,d015ae26-6092-4c73-96ea-f174d7e28f14,False,False,https://lda.senate.gov/filings/public/filing/d015ae26-6092-4c73-96ea-f174d7e28f14/print/
SQUIRE PATTON BOGGS,PASHA HOLDING LLC,90000,7c9ec4f6-168e-43d4-b709-7aafa735329b,False,False,https://lda.senate.gov/filings/public/filing/7c9ec4f6-168e-43d4-b709-7aafa735329b/print/
CAPITOL COUNSEL LLC,Perimeter Solutions,90000,eb371b73-ab88-4e3c-b2c3-509b09ae319a,False,False,https://lda.senate.gov/filings/public/filing/eb371b73-ab88-4e3c-b2c3-509b09ae319a/print/
BALLARD PARTNERS,RUDY OPCO LLC,90000,438b1a2d-bc34-43de-b563-31f3d1f5d951,False,False,https://lda.senate.gov/filings/public/filing/438b1a2d-bc34-43de-b563-31f3d1f5d951/print/
BALLARD PARTNERS,SABER HEALTHCARE GROUP,90000,01e3105a-64cd-41d4-b880-9c0d4afd7b74,False,False,https://lda.senate.gov/filings/public/filing/01e3105a-64cd-41d4-b880-9c0d4afd7b74/print/
BALLARD PARTNERS,SECURITYSCORECARD,90000,13030a8e-39c3-4753-a5c3-d63a302da1d1,False,False,https://lda.senate.gov/filings/public/filing/13030a8e-39c3-4753-a5c3-d63a302da1d1/print/
REED SMITH LLP,"SHGS ADVISORS, INC.",90000,b692c650-d7e8-4998-bab4-908dbd69edb8,False,False,https://lda.senate.gov/filings/public/filing/b692c650-d7e8-4998-bab4-908dbd69edb8/print/
AKIN GUMP STRAUSS HAUER & FELD,SILVER POINT CAPITAL L.P.,90000,c5023018-a5b0-4dde-8605-89f9a6467f80,False,False,https://lda.senate.gov/filings/public/filing/c5023018-a5b0-4dde-8605-89f9a6467f80/print/
"CGCN GROUP, LLC","Solstice Advanced Materials US, Inc",90000,ae70f8fe-67b2-4d55-8b01-22b3fd865fb7,False,False,https://lda.senate.gov/filings/public/filing/ae70f8fe-67b2-4d55-8b01-22b3fd865fb7/print/
"MILLER STRATEGIES, LLC",TYPE ONE ENERGY GROUP,90000,06863d7c-ab5d-4042-8ec8-3dd31fcceb61,False,False,https://lda.senate.gov/filings/public/filing/06863d7c-ab5d-4042-8ec8-3dd31fcceb61/print/
"CONTINENTAL STRATEGY, LLC",Tesla Inc.,85162,3d091d3d-0f88-4250-b5b4-f258ac3ee409,False,False,https://lda.senate.gov/filings/public/filing/3d091d3d-0f88-4250-b5b4-f258ac3ee409/print/
DLA PIPER LLP (US),"AIDOC, INC.",80000,84cd5440-4fbe-4bf0-891b-b0ba90b3bf9d,False,False,https://lda.senate.gov/filings/public/filing/84cd5440-4fbe-4bf0-891b-b0ba90b3bf9d/print/
"RUBIN, TURNBULL & ASSOCIATES",AVALON PARK GROUP,80000,0bf544c2-f656-4f01-baff-b233eec00596,False,False,https://lda.senate.gov/filings/public/filing/0bf544c2-f656-4f01-baff-b233eec00596/print/
CAPITOL COUNSEL LLC,American Efficient LLC,80000,fb2614a7-6b60-46b5-a607-36ef03c3b9b6,False,False,https://lda.senate.gov/filings/public/filing/fb2614a7-6b60-46b5-a607-36ef03c3b9b6/print/
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)","Armada Systems, Inc.",80000,f16ce185-6110-44aa-b256-bd8805b711a0,False,False,https://lda.senate.gov/filings/public/filing/f16ce185-6110-44aa-b256-bd8805b711a0/print/
CHECKMATE GOVERNMENT RELATIONS,"CANTOR FITZGERALD, L.P.",80000,d2915452-b852-417a-a5f5-27c618c3d304,False,False,https://lda.senate.gov/filings/public/filing/d2915452-b852-417a-a5f5-27c618c3d304/print/
"GUIDEPOSTSTRATEGIES, LLC",CATURUS,80000,adda018e-d976-4ba3-aed1-a327e85197ea,False,False,https://lda.senate.gov/filings/public/filing/adda018e-d976-4ba3-aed1-a327e85197ea/print/
"RUBIN, TURNBULL & ASSOCIATES","CONSUMER REPORTS, INC. (F.K.A. CONSUMERS UNION OF UNITED STATES, INC.)",80000,72ef12dc-2c5d-43e5-beea-64f2652c3656,False,False,https://lda.senate.gov/filings/public/filing/72ef12dc-2c5d-43e5-beea-64f2652c3656/print/
AKIN GUMP STRAUSS HAUER & FELD,Ciena Corporation,80000,f0bc3ba6-9c2f-426b-a0bf-c53937030e7a,False,False,https://lda.senate.gov/filings/public/filing/f0bc3ba6-9c2f-426b-a0bf-c53937030e7a/print/
BGR GOVERNMENT AFFAIRS,FAIRMOUNT FUNDS MANAGEMENT LLC,80000,d2f1ceaf-62b2-4d74-8abd-0c0a55a1583e,False,False,https://lda.senate.gov/filings/public/filing/d2f1ceaf-62b2-4d74-8abd-0c0a55a1583e/print/
INVARIANT LLC,"FERRETLY INTERNATIONAL, INC.",80000,b1ef1a51-3d2d-49c4-a1b1-61298ffe6265,False,False,https://lda.senate.gov/filings/public/filing/b1ef1a51-3d2d-49c4-a1b1-61298ffe6265/print/
"CROSSROADS STRATEGIES, LLC","KANE KESSLER, P.C. OBO CLARUS CORPORATION",80000,834704e4-1f59-4d5a-892b-3d49875c72d8,False,False,https://lda.senate.gov/filings/public/filing/834704e4-1f59-4d5a-892b-3d49875c72d8/print/
BALLARD PARTNERS,"KIRKLAND & ELLIS LLP ON BEHALF OF EVOLVE BUYER, LLC AND YODA TOPCO, LP",80000,4410a9ed-a1bb-4d0c-9d9d-dc1b58df78a7,False,False,https://lda.senate.gov/filings/public/filing/4410a9ed-a1bb-4d0c-9d9d-dc1b58df78a7/print/
"THE PICARD GROUP, LLC","Katuma, LLC",80000,c2f0c70e-41d2-455c-8f25-83ba861b276d,False,False,https://lda.senate.gov/filings/public/filing/c2f0c70e-41d2-455c-8f25-83ba861b276d/print/
