registrant,client,trail4_income,n_quarters,first_seen,new_this_q,re_engaged,term_uuid,lda_public_url
CHECKMATE GOVERNMENT RELATIONS,VANTIVE HEALTH LLC,450000,5,2025-Q1,False,0,948fec89-9493-4568-b44a-44bc490a296a,https://lda.senate.gov/filings/public/filing/948fec89-9493-4568-b44a-44bc490a296a/print/
"RUBIN, TURNBULL & ASSOCIATES",CIBANCO,420000,3,2025-Q3,False,0,77825265-7832-490b-bb71-f4b33b6c2233,https://lda.senate.gov/filings/public/filing/77825265-7832-490b-bb71-f4b33b6c2233/print/
"MILLER STRATEGIES, LLC",Cow Creek Band of Umpqua Tribe of Indians,420000,4,2025-Q2,False,0,f8909a4c-90a5-48da-9b3f-be4785de076d,https://lda.senate.gov/filings/public/filing/f8909a4c-90a5-48da-9b3f-be4785de076d/print/
"BALLARD PARTNERS, LLC",BRIDGE: BUILDING RESILIENT INFRASTRUCTURE & DEVELOPING GREATER EQUITY,400000,4,2025-Q2,False,0,8f251498-c730-40e6-8d86-841b2457a35c,https://lda.senate.gov/filings/public/filing/8f251498-c730-40e6-8d86-841b2457a35c/print/
MICHAEL BEST STRATEGIES LLC,"GRAY MEDIA, INC.",400000,4,2025-Q2,False,0,bffecc96-8049-4360-b61a-c0258faeda98,https://lda.senate.gov/filings/public/filing/bffecc96-8049-4360-b61a-c0258faeda98/print/
"BALLARD PARTNERS, LLC",BREITLING SA,370000,3,2025-Q3,False,0,389bdce2-1e76-4717-b116-4aba9b071622,https://lda.senate.gov/filings/public/filing/389bdce2-1e76-4717-b116-4aba9b071622/print/
"BALLARD PARTNERS, LLC","DOREL JUVENILE GROUP, INC.",370000,5,2025-Q1,False,0,4b9ee6c6-ceb7-4504-b1a2-22ea4d78063e,https://lda.senate.gov/filings/public/filing/4b9ee6c6-ceb7-4504-b1a2-22ea4d78063e/print/
CHECKMATE GOVERNMENT RELATIONS,PatientsACT,370000,4,2025-Q2,False,0,bf1092b8-f29f-41d9-a25b-bdf291752a3c,https://lda.senate.gov/filings/public/filing/bf1092b8-f29f-41d9-a25b-bdf291752a3c/print/
"MILLER STRATEGIES, LLC","Charter Communications Operating, LLC",360000,5,2025-Q1,False,0,322d51a1-56ce-48f9-a65b-6628259af58d,https://lda.senate.gov/filings/public/filing/322d51a1-56ce-48f9-a65b-6628259af58d/print/
"BALLARD PARTNERS, LLC",DAIMLER TRUCK NORTH AMERICA LLC,360000,5,2025-Q1,False,0,008ca2e4-05ef-4d5d-a228-cf6a15dcf8f7,https://lda.senate.gov/filings/public/filing/008ca2e4-05ef-4d5d-a228-cf6a15dcf8f7/print/
PENN AVENUE PARTNERS,"UnitedHealth Group, Inc.",360000,17,2022-Q1,False,0,c17d4de1-1585-4b0e-85eb-747f515b08f4,https://lda.senate.gov/filings/public/filing/c17d4de1-1585-4b0e-85eb-747f515b08f4/print/
VALCOUR LLC,WARBURG PINCUS,360000,4,2025-Q2,False,0,9e559e78-13fb-4a6e-9c28-0dd2c6b89aed,https://lda.senate.gov/filings/public/filing/9e559e78-13fb-4a6e-9c28-0dd2c6b89aed/print/
CHECKMATE GOVERNMENT RELATIONS,EARTH AI INC.,350000,4,2025-Q2,False,0,0ce8bf39-fcf1-4690-b061-268bdad80954,https://lda.senate.gov/filings/public/filing/0ce8bf39-fcf1-4690-b061-268bdad80954/print/
"BALLARD PARTNERS, LLC",Hanwha Q CELLS America Inc.,350000,4,2025-Q2,False,0,a41230d8-0483-4518-a27e-3377ca3d275a,https://lda.senate.gov/filings/public/filing/a41230d8-0483-4518-a27e-3377ca3d275a/print/
CHECKMATE GOVERNMENT RELATIONS,UNICOIN,350000,3,2025-Q3,False,0,85973741-cf51-4c47-9021-0bd7c28f6787,https://lda.senate.gov/filings/public/filing/85973741-cf51-4c47-9021-0bd7c28f6787/print/
"BALLARD PARTNERS, LLC",Fragrance Creators Association,330000,5,2025-Q1,False,0,a1364017-6396-4716-87ea-3916658a4314,https://lda.senate.gov/filings/public/filing/a1364017-6396-4716-87ea-3916658a4314/print/
THE DUBERSTEIN GROUP INC.,Honeywell International,330000,17,2022-Q1,False,0,bcd89e97-f67c-48b3-8c23-fc6bb94a7ede,https://lda.senate.gov/filings/public/filing/bcd89e97-f67c-48b3-8c23-fc6bb94a7ede/print/
"MILLER STRATEGIES, LLC","MULTICOIN CAPITAL MANAGEMENT, LLC",330000,7,2024-Q3,False,0,74698fbf-2c67-4e75-a87d-299eae8a1b95,https://lda.senate.gov/filings/public/filing/74698fbf-2c67-4e75-a87d-299eae8a1b95/print/
"MERCURY PUBLIC AFFAIRS, LLC",RSL INVESTMENT CORPORATION,330000,5,2025-Q1,False,0,e514d402-7673-4405-ba92-8ac91a93fc44,https://lda.senate.gov/filings/public/filing/e514d402-7673-4405-ba92-8ac91a93fc44/print/
"BALLARD PARTNERS, LLC",TechMet Limited,330000,5,2025-Q1,False,0,c11845a8-a68a-4272-b291-d2e3ef03f87b,https://lda.senate.gov/filings/public/filing/c11845a8-a68a-4272-b291-d2e3ef03f87b/print/
HOLLAND & KNIGHT LLP,Alibaba Group Holding Limited,320000,17,2022-Q1,False,0,fee7949c-6b0f-4fe3-a94c-93222f04b8a6,https://lda.senate.gov/filings/public/filing/fee7949c-6b0f-4fe3-a94c-93222f04b8a6/print/
MCLARTY INBOUND LLC,Glencore Ltd.,320000,12,2023-Q2,False,0,609f3987-7527-4c4d-8011-f4aa625bedd2,https://lda.senate.gov/filings/public/filing/609f3987-7527-4c4d-8011-f4aa625bedd2/print/
STEPTOE LLP,Las Vegas Sands Corporation,320000,17,2022-Q1,False,0,55863e8b-3ff8-4567-8b3e-9fd6253df942,https://lda.senate.gov/filings/public/filing/55863e8b-3ff8-4567-8b3e-9fd6253df942/print/
"BALLARD PARTNERS, LLC",TUPY AMERICAN FOUNDRY CORPORATION,320000,3,2025-Q3,False,0,301f7775-85ca-4e75-8804-82cebeb0c4af,https://lda.senate.gov/filings/public/filing/301f7775-85ca-4e75-8804-82cebeb0c4af/print/
"CONTINENTAL STRATEGY, LLC",Relativity Space,319216,4,2025-Q2,False,0,61d46a3b-0c40-4ddc-96db-61bfcc49edcc,https://lda.senate.gov/filings/public/filing/61d46a3b-0c40-4ddc-96db-61bfcc49edcc/print/
"CONTINENTAL STRATEGY, LLC",PEPPERTREE CAPITAL MANAGEMENT INC.,312500,2,2025-Q4,False,0,6b81ced3-9cab-48e5-8a54-e2efa6e1974f,https://lda.senate.gov/filings/public/filing/6b81ced3-9cab-48e5-8a54-e2efa6e1974f/print/
R A RAPOZA ASSOCIATES INC,NEW MARKETS TAX CREDIT COALITION,301700,17,2022-Q1,False,0,37e65f85-10d1-41b2-bba1-63ac272cb4d8,https://lda.senate.gov/filings/public/filing/37e65f85-10d1-41b2-bba1-63ac272cb4d8/print/
"CAPITOL TAX PARTNERS, LLP","Block, Inc.",300000,17,2022-Q1,False,0,c6afd4a7-2786-423a-bda7-34629bc60f68,https://lda.senate.gov/filings/public/filing/c6afd4a7-2786-423a-bda7-34629bc60f68/print/
LEDYARD GROUP,"InMarket Media, LLC",300000,8,2024-Q2,False,0,a813747a-aa3d-442f-ac5a-850ee7583421,https://lda.senate.gov/filings/public/filing/a813747a-aa3d-442f-ac5a-850ee7583421/print/
AVENUE SOLUTIONS,Kidney Care Partners,300000,17,2022-Q1,False,0,133e550f-6d6a-42e2-8cc8-3bac0338db7c,https://lda.senate.gov/filings/public/filing/133e550f-6d6a-42e2-8cc8-3bac0338db7c/print/
COZEN O'CONNOR PUBLIC STRATEGIES,TikTok Inc.,300000,10,2023-Q4,False,0,ee7e3ab7-e1af-484e-9795-3bbba525bc03,https://lda.senate.gov/filings/public/filing/ee7e3ab7-e1af-484e-9795-3bbba525bc03/print/
"CGCN GROUP, LLC",XGS Energy,300000,4,2025-Q2,False,0,8e18ceb1-df20-4175-9707-9bc6bb8ec543,https://lda.senate.gov/filings/public/filing/8e18ceb1-df20-4175-9707-9bc6bb8ec543/print/
DLA PIPER LLP (US),Association of American Universities,290000,4,2025-Q2,False,0,254ac7a2-e8e6-49eb-952d-dea7d6187661,https://lda.senate.gov/filings/public/filing/254ac7a2-e8e6-49eb-952d-dea7d6187661/print/
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",GOLDCO,290000,5,2025-Q1,False,0,045f02c1-ebfb-4f4d-bcec-eb54e9ca3f76,https://lda.senate.gov/filings/public/filing/045f02c1-ebfb-4f4d-bcec-eb54e9ca3f76/print/
CHECKMATE GOVERNMENT RELATIONS,HANESBRAND INC.,290000,4,2025-Q2,False,0,fa34f0b0-151a-4b55-98b5-d65745c97d3c,https://lda.senate.gov/filings/public/filing/fa34f0b0-151a-4b55-98b5-d65745c97d3c/print/
CHECKMATE GOVERNMENT RELATIONS,Health Equality Campaign,290000,4,2025-Q2,False,0,4f309d31-1ff7-4a67-b672-8df7f750fdf3,https://lda.senate.gov/filings/public/filing/4f309d31-1ff7-4a67-b672-8df7f750fdf3/print/
"MERCURY PUBLIC AFFAIRS, LLC",ADRIATIC SEA DIS TIC LTD. STI L.P,280000,4,2025-Q2,False,0,972b2889-20d3-41a1-a493-a9fb886cdac2,https://lda.senate.gov/filings/public/filing/972b2889-20d3-41a1-a493-a9fb886cdac2/print/
RICH FEUER ANDERSON,"EREBOR GROUP, INC.",280000,4,2025-Q2,False,0,e79493ce-5ef6-4658-a2dc-274245349cee,https://lda.senate.gov/filings/public/filing/e79493ce-5ef6-4658-a2dc-274245349cee/print/
"BALLARD PARTNERS, LLC",Klal Yisroel Inc.,280000,3,2025-Q3,False,0,e9f79b06-df7f-4288-8a63-0de87bb1f553,https://lda.senate.gov/filings/public/filing/e9f79b06-df7f-4288-8a63-0de87bb1f553/print/
CAPITOL COUNSEL LLC,"MEAD JOHNSON AND COMPANY, LLC",280000,8,2024-Q2,False,0,36e6be02-eba6-4023-94da-c78b32464d56,https://lda.senate.gov/filings/public/filing/36e6be02-eba6-4023-94da-c78b32464d56/print/
"BOCKORNY GROUP, INC.",PAYTIENT TECHNOLOGIES INC,275000,10,2023-Q4,False,0,6178a961-456f-44cd-8bc4-3b12e3b93266,https://lda.senate.gov/filings/public/filing/6178a961-456f-44cd-8bc4-3b12e3b93266/print/
OGR,American Council on Education,270000,5,2025-Q1,False,0,810bff7d-4526-4c08-8374-111a285d42b0,https://lda.senate.gov/filings/public/filing/810bff7d-4526-4c08-8374-111a285d42b0/print/
FORBES-TATE,Assured Guaranty Municipal Corp.,270000,17,2022-Q1,False,0,3913ee86-f97e-42dc-b867-34798c93cd13,https://lda.senate.gov/filings/public/filing/3913ee86-f97e-42dc-b867-34798c93cd13/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",Bossier Parish Police Jury,270000,8,2024-Q2,False,0,d3562fa2-60a8-4a5e-8963-10fb72fb7b70,https://lda.senate.gov/filings/public/filing/d3562fa2-60a8-4a5e-8963-10fb72fb7b70/print/
CHECKMATE GOVERNMENT RELATIONS,COTTAGE HEALTH HOSPITALS,270000,3,2025-Q3,False,0,80d5a03f-fefa-40f9-b90c-3be207e31f34,https://lda.senate.gov/filings/public/filing/80d5a03f-fefa-40f9-b90c-3be207e31f34/print/
BGR GOVERNMENT AFFAIRS,Charles River Laboratories,270000,14,2022-Q4,False,0,be8c8c0a-9a04-499a-bb33-3fa7cbfb60ff,https://lda.senate.gov/filings/public/filing/be8c8c0a-9a04-499a-bb33-3fa7cbfb60ff/print/
AKIN GUMP STRAUSS HAUER & FELD,"Coupang, Inc.",270000,17,2022-Q1,False,0,0e829113-4b16-4fd7-ae5a-38093a92414d,https://lda.senate.gov/filings/public/filing/0e829113-4b16-4fd7-ae5a-38093a92414d/print/
"BALLARD PARTNERS, LLC",DRASLOVKA A.S.,270000,5,2025-Q1,False,0,4fabafd1-080a-4985-8af4-87dfa6949268,https://lda.senate.gov/filings/public/filing/4fabafd1-080a-4985-8af4-87dfa6949268/print/
"BALLARD PARTNERS, LLC","E3 IGNITIONS PRODUCTS, LLC",270000,5,2025-Q1,False,0,5fdd90fb-debf-4df5-b8ac-1338fca8db80,https://lda.senate.gov/filings/public/filing/5fdd90fb-debf-4df5-b8ac-1338fca8db80/print/
BOUNDARY STONE PARTNERS,Fervo Energy,270000,17,2022-Q1,False,0,7c3622c9-bff0-41d6-a0a2-c70156dcfa76,https://lda.senate.gov/filings/public/filing/7c3622c9-bff0-41d6-a0a2-c70156dcfa76/print/
SQUIRE PATTON BOGGS,"Office of the Governor, State of Colorado",270000,17,2022-Q1,False,0,4b289ab3-0253-4053-8c53-7fa4ac193e38,https://lda.senate.gov/filings/public/filing/4b289ab3-0253-4053-8c53-7fa4ac193e38/print/
"BALLARD PARTNERS, LLC",Paper Excellence Holdings Corporation,270000,5,2025-Q1,False,0,9abdbf35-8202-4b83-9285-8372f696e1c4,https://lda.senate.gov/filings/public/filing/9abdbf35-8202-4b83-9285-8372f696e1c4/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",UNITED STATES MANUFACTURING INNOVATION COUNCIL,270000,9,2024-Q1,False,0,a910d1f1-cec0-43d1-933d-23d1316124a9,https://lda.senate.gov/filings/public/filing/a910d1f1-cec0-43d1-933d-23d1316124a9/print/
"MINDSET ADVOCACY, LLC","ZESTFINANCE, INC. DBA ZEST AI",270000,4,2025-Q2,False,0,a9199a5b-bde5-4590-9aeb-a1f272581c4d,https://lda.senate.gov/filings/public/filing/a9199a5b-bde5-4590-9aeb-a1f272581c4d/print/
"TARPLIN, DOWNS & YOUNG, LLC",Accenture Federal Services LLC,260000,17,2022-Q1,False,0,aa570d34-b4fb-44d3-b6fe-9a2ba11d2594,https://lda.senate.gov/filings/public/filing/aa570d34-b4fb-44d3-b6fe-9a2ba11d2594/print/
"BALLARD PARTNERS, LLC",CHANA HOLDINGS LLC,260000,2,2025-Q4,False,0,a0f6453f-636f-40a2-92e6-20473fb9298f,https://lda.senate.gov/filings/public/filing/a0f6453f-636f-40a2-92e6-20473fb9298f/print/
CLARK STREET ASSOCIATES,IonQ Inc.,260000,17,2022-Q1,False,0,9f9c6e5f-6cee-4b99-b051-811f6aa86a05,https://lda.senate.gov/filings/public/filing/9f9c6e5f-6cee-4b99-b051-811f6aa86a05/print/
VALCOUR LLC,HAZIM NADA,250000,4,2025-Q2,False,0,e5fd5e3e-8850-4c96-bfe2-f7d2b57e5edc,https://lda.senate.gov/filings/public/filing/e5fd5e3e-8850-4c96-bfe2-f7d2b57e5edc/print/
CHESAPEAKE ENTERPRISES,Keeping Americas Edge,250000,4,2025-Q2,False,0,1e1ab162-ad21-40aa-93b5-f36d1568c703,https://lda.senate.gov/filings/public/filing/1e1ab162-ad21-40aa-93b5-f36d1568c703/print/
LESTER HEALTH LAW PLLC,Kidney Care Partners,250000,17,2022-Q1,False,0,743b31ec-afe6-424f-8d6f-f6d288b6207f,https://lda.senate.gov/filings/public/filing/743b31ec-afe6-424f-8d6f-f6d288b6207f/print/
"CASSIDY & ASSOCIATES, INC.",Tesla Inc.,250000,17,2022-Q1,False,0,223d1035-bd5b-40c3-9ead-e0de5f8a1919,https://lda.senate.gov/filings/public/filing/223d1035-bd5b-40c3-9ead-e0de5f8a1919/print/
INVARIANT LLC,"ZANSKAR GEOTHERMAL & MINERALS, INC.",250000,5,2025-Q1,False,0,b59ac33f-cc58-4903-97dd-a3eea826a87e,https://lda.senate.gov/filings/public/filing/b59ac33f-cc58-4903-97dd-a3eea826a87e/print/
THE VOGEL GROUP,"DOUCET CONSULTING SOLUTIONS, LLC ON BEHALF OF GNC HOLDINGS, LLC",248000,4,2025-Q2,False,0,ec5914cc-c162-4cfd-8288-bb9649807c49,https://lda.senate.gov/filings/public/filing/ec5914cc-c162-4cfd-8288-bb9649807c49/print/
POLSINELLI PC,American Society of Transplantation,240000,14,2022-Q4,False,0,af4b0ed1-f326-4630-82b0-b61c40fef8e4,https://lda.senate.gov/filings/public/filing/af4b0ed1-f326-4630-82b0-b61c40fef8e4/print/
"THE NICKLES GROUP, LLC",Booz Allen Hamilton Inc.,240000,7,2024-Q3,False,0,0d7996e7-7e6d-4c12-973f-ec95c0a9cf0b,https://lda.senate.gov/filings/public/filing/0d7996e7-7e6d-4c12-973f-ec95c0a9cf0b/print/
CHAMBER HILL STRATEGIES,CALOPTIMA HEALTH,240000,7,2024-Q3,False,0,1e42fac4-0b55-4509-b84d-ddb26301cc86,https://lda.senate.gov/filings/public/filing/1e42fac4-0b55-4509-b84d-ddb26301cc86/print/
INVARIANT LLC,DittoLive Inc.,240000,9,2024-Q1,False,0,7f1bb9cb-4246-4cb1-9ad3-18e0d3c6aa10,https://lda.senate.gov/filings/public/filing/7f1bb9cb-4246-4cb1-9ad3-18e0d3c6aa10/print/
BOUNDARY STONE PARTNERS,GENERATE CAPITAL,240000,5,2025-Q1,False,0,f87e41ea-fb9f-4145-bef3-f21e809662f4,https://lda.senate.gov/filings/public/filing/f87e41ea-fb9f-4145-bef3-f21e809662f4/print/
CHECKMATE GOVERNMENT RELATIONS,LION COPPER AND GOLD CORP.,240000,4,2025-Q2,False,0,74cee67b-a8c9-41c9-8758-71be6ce95740,https://lda.senate.gov/filings/public/filing/74cee67b-a8c9-41c9-8758-71be6ce95740/print/
"BALLARD PARTNERS, LLC",NATIONAL EMR,240000,5,2025-Q1,False,0,dd016369-0e18-4293-89fa-7a3aff5cbe4c,https://lda.senate.gov/filings/public/filing/dd016369-0e18-4293-89fa-7a3aff5cbe4c/print/
CONVERGE PUBLIC STRATEGIES,NORTH AMERICAN FORMAL APPAREL ASSOCIATION,240000,4,2025-Q2,False,0,58710158-b556-4bf5-a079-11b948d4a097,https://lda.senate.gov/filings/public/filing/58710158-b556-4bf5-a079-11b948d4a097/print/
MICHAEL BEST STRATEGIES LLC,Perpetua Resources,240000,5,2025-Q1,False,0,2a2f91ef-5207-49ed-8639-073183fd86b7,https://lda.senate.gov/filings/public/filing/2a2f91ef-5207-49ed-8639-073183fd86b7/print/
AKIN GUMP STRAUSS HAUER & FELD,"Salesforce.com, Inc.",240000,17,2022-Q1,False,0,ccb26fe4-761c-4867-829a-bf1eb7e1390f,https://lda.senate.gov/filings/public/filing/ccb26fe4-761c-4867-829a-bf1eb7e1390f/print/
"CASSIDY & ASSOCIATES, INC.",The Trustees of the University of Pennsylvania,240000,9,2024-Q1,False,0,13852911-53fd-4e13-8ea4-3e07ee628651,https://lda.senate.gov/filings/public/filing/13852911-53fd-4e13-8ea4-3e07ee628651/print/
"TARPLIN, DOWNS & YOUNG, LLC","Valneva USA, Inc.",240000,13,2023-Q1,False,0,ea39b124-88b9-4b22-9851-14108e91e36f,https://lda.senate.gov/filings/public/filing/ea39b124-88b9-4b22-9851-14108e91e36f/print/
HOLLAND & KNIGHT LLP,"DUPONT DE NEMOURS, INC.",230000,4,2025-Q2,False,0,a5a4121c-47c9-45db-8753-71ab804e20ca,https://lda.senate.gov/filings/public/filing/a5a4121c-47c9-45db-8753-71ab804e20ca/print/
CHECKMATE GOVERNMENT RELATIONS,EVERSHEDS SUTHERLAND ON BEHALF OF KCC SHIPOWNING AC.,230000,3,2025-Q3,False,0,8873c30f-7de0-45db-8ddb-c1682c8665f6,https://lda.senate.gov/filings/public/filing/8873c30f-7de0-45db-8ddb-c1682c8665f6/print/
AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),Omeros Corporation,230000,4,2025-Q2,False,0,4b65adb1-2139-4743-9c5d-fbf8d1646a3e,https://lda.senate.gov/filings/public/filing/4b65adb1-2139-4743-9c5d-fbf8d1646a3e/print/
"CONTINENTAL STRATEGY, LLC",SOCIEDAD DE FOMENTO FABRIL (SOFOFA),227500,4,2025-Q2,False,0,c3253693-d646-48f1-b7f9-b408ac6146a5,https://lda.senate.gov/filings/public/filing/c3253693-d646-48f1-b7f9-b408ac6146a5/print/
CARMEN GROUP INCORPORATED,Sports Betting Alliance,225000,5,2025-Q1,False,0,421e0c3e-f35c-4161-a22b-59e750c91f13,https://lda.senate.gov/filings/public/filing/421e0c3e-f35c-4161-a22b-59e750c91f13/print/
"CAPITOL TAX PARTNERS, LLP",American Clean Power Association,220000,17,2022-Q1,False,0,7f58ab1c-93b8-482e-99a8-a1c8d878494a,https://lda.senate.gov/filings/public/filing/7f58ab1c-93b8-482e-99a8-a1c8d878494a/print/
"MILLER STRATEGIES, LLC","BETTER SCHOOL FOR A BETTER FUTURE, INC.",220000,5,2025-Q1,False,0,adc39e48-7d9b-43cc-b020-63e9d8cdf90b,https://lda.senate.gov/filings/public/filing/adc39e48-7d9b-43cc-b020-63e9d8cdf90b/print/
"BALLARD PARTNERS, LLC","Centerline Liberties, Inc.",220000,5,2025-Q1,False,0,8747ac3f-20b4-44f2-ad14-4f3b1f0594db,https://lda.senate.gov/filings/public/filing/8747ac3f-20b4-44f2-ad14-4f3b1f0594db/print/
"MILLER STRATEGIES, LLC",Cornell University,220000,5,2025-Q1,False,0,c7d17340-d81e-4e21-b616-75375fdb9f66,https://lda.senate.gov/filings/public/filing/c7d17340-d81e-4e21-b616-75375fdb9f66/print/
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Duke Energy Business Services LLC,220000,17,2022-Q1,False,0,66c8a60e-4987-4217-8adf-6480c25eec94,https://lda.senate.gov/filings/public/filing/66c8a60e-4987-4217-8adf-6480c25eec94/print/
"BALLARD PARTNERS, LLC",GIMME SEAWEED,220000,3,2025-Q3,False,0,8533adaa-3cf8-45ab-aa94-66f8ba43e9f2,https://lda.senate.gov/filings/public/filing/8533adaa-3cf8-45ab-aa94-66f8ba43e9f2/print/
DLA PIPER LLP (US),IRHYTHM TECHNOLOGIES,220000,7,2024-Q3,False,0,bf2457ea-b521-4e88-b060-8d2f1bb6c560,https://lda.senate.gov/filings/public/filing/bf2457ea-b521-4e88-b060-8d2f1bb6c560/print/
"THE NICKLES GROUP, LLC",LA 2028 -LOS ANGELES ORGANIZING COMMITTEE FOR OLYMPIC AND PARALYMPIC GAMES 2028,220000,17,2022-Q1,False,0,54360145-24c0-45d6-9360-86a27c60e4cf,https://lda.senate.gov/filings/public/filing/54360145-24c0-45d6-9360-86a27c60e4cf/print/
CAPITOL COUNSEL LLC,National Association of Real Estate Investment Trusts,220000,17,2022-Q1,False,0,aa7a29ab-42bb-4aaa-af5c-33b8b9045a0e,https://lda.senate.gov/filings/public/filing/aa7a29ab-42bb-4aaa-af5c-33b8b9045a0e/print/
"MAYNOR & STIERS, LLC","Quantum Research International, Inc.",220000,16,2022-Q2,False,0,ea7716ea-541e-40c0-973f-7b5e31ee56a5,https://lda.senate.gov/filings/public/filing/ea7716ea-541e-40c0-973f-7b5e31ee56a5/print/
VALIANT STRATEGIES LLC,"R.R.P. CONSULTING ENGINEERS, L.L.C. OBO SOUTHWEBB BRIDGE COMPANY, LLC",220000,4,2025-Q2,False,0,7a7245f6-0a80-4e35-99e9-b493b4ed8df8,https://lda.senate.gov/filings/public/filing/7a7245f6-0a80-4e35-99e9-b493b4ed8df8/print/
"KOUNTOUPES DENHAM CARR & REID, LLC",Research!America,220000,13,2023-Q1,False,0,53e4fd25-9791-42fb-97dd-a7f74aba62b3,https://lda.senate.gov/filings/public/filing/53e4fd25-9791-42fb-97dd-a7f74aba62b3/print/
MICHAEL BEST STRATEGIES LLC,The Nature Conservancy,220000,2,2025-Q4,False,0,b4d273cf-1dce-433c-a98a-50e4d3dbec09,https://lda.senate.gov/filings/public/filing/b4d273cf-1dce-433c-a98a-50e4d3dbec09/print/
"MILLER STRATEGIES, LLC",VIAL HEALTH TECHNOLOGY INC.,220000,4,2025-Q2,False,0,b905b2ce-dd2a-40fb-8677-efeef61e3c42,https://lda.senate.gov/filings/public/filing/b905b2ce-dd2a-40fb-8677-efeef61e3c42/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.","Workday, Inc.",220000,5,2025-Q1,False,0,28147dd5-130a-41da-94df-a1f6109119b7,https://lda.senate.gov/filings/public/filing/28147dd5-130a-41da-94df-a1f6109119b7/print/
THE CONSILIO GROUP,"Natera, Inc.",216000,17,2022-Q1,False,0,8e7805de-4998-491d-8121-436bcab5d6c8,https://lda.senate.gov/filings/public/filing/8e7805de-4998-491d-8121-436bcab5d6c8/print/
"BALLARD PARTNERS, LLC","AXINN, VELTROP & HARKRIDER LLP ON BEHALF OF BRADYPLUS",210000,3,2025-Q3,False,0,21b62563-ac0c-4438-999e-eba9e2cde8be,https://lda.senate.gov/filings/public/filing/21b62563-ac0c-4438-999e-eba9e2cde8be/print/
HOLLAND & KNIGHT LLP,"Clark Street Associates on behalf of IonQ, Inc.",210000,12,2023-Q2,False,0,52ebcc2a-2ca9-4ea1-af51-9097cbdf7c2a,https://lda.senate.gov/filings/public/filing/52ebcc2a-2ca9-4ea1-af51-9097cbdf7c2a/print/
"TSG ADVOCATES DC, LLC",INTERNATIONAL INVESTMENT PARTNERS,210000,5,2025-Q1,False,0,0fa9c2af-b7b8-42e8-8bb9-1c27928ceb3b,https://lda.senate.gov/filings/public/filing/0fa9c2af-b7b8-42e8-8bb9-1c27928ceb3b/print/
