recipient,party,party_source,from_crypto_native,native_items,from_diversified_forward,forward_items,from_ambient_lowshare,ambient_items,name_variants_combined
Sen. Jon Tester (D-MT),(D-MT),manual,0.0,0,286750.0,107,89450.0,32,4
Rep. Steny H. Hoyer (D-MD),(D-MD),members-table,0.0,0,270000.0,78,105800.0,27,6
Sen. Katie Boyd Britt (R-AL),(R-AL),members-table,7000.0,3,296250.0,100,64500.0,21,6
Rep. Darin LaHood (R-IL),(R-IL),members-table,0.0,0,301000.0,112,65685.0,26,7
Rep. James E. Clyburn (D-SC),(D-SC),members-table,0.0,0,191000.0,61,175000.0,55,7
Rep. Mike Johnson (R-LA),(R-LA),members-table,5000.0,1,263000.0,65,97566.0,21,4
Rep. Brad Sherman (D-CA),(D-CA),members-table,0.0,0,305500.0,134,59000.0,18,5
Rep. Steven Horsford (D-NV),(D-NV),members-table,4500.0,4,247300.0,105,112200.0,49,9
Rep. Terri A. Sewell (D-AL),(D-AL),members-table,750.0,2,271500.0,112,79500.0,36,6
Rep. Ritchie Torres (D-NY),(D-NY),members-table,21500.0,12,270900.0,125,46500.0,26,7
Sen. Lisa Blunt Rochester (D-DE),(D-DE),members-table,2500.0,3,266500.0,87,60750.0,23,8
Blaine Luetkemeyer,,,0.0,0,283900.0,92,35400.0,17,3
Sen. Charles E. Schumer (D-NY),(D-NY),members-table,2900.0,1,231500.0,61,75500.0,18,8
Rep. Sean Casten (D-IL),(D-IL),members-table,0.0,0,252500.0,106,50500.0,31,4
Rep. Brittany Pettersen (D-CO),(D-CO),members-table,6000.0,7,235750.0,114,60800.0,27,6
Sen. Gary C. Peters (D-MI),(D-MI),members-table,0.0,0,248500.0,95,48550.0,22,7
Sen. Sherrod Brown (D-OH),(D-OH),manual,1000.0,1,251250.0,82,41150.0,16,5
Rep. Richard Hudson (R-NC),(R-NC),members-table,0.0,0,229250.0,68,61500.0,16,9
Rep. Kevin McCarthy (R-CA),(R-CA),manual,0.0,0,226000.0,48,62500.0,14,5
Sen. John Cornyn (R-TX),(R-TX),members-table,3500.0,1,213000.0,77,70291.0,25,8
Rep. Michael Lawler (R-NY),(R-NY),members-table,1250.0,2,224500.0,105,59310.0,30,9
Sen. John Barrasso (R-WY),(R-WY),members-table,8300.0,2,202000.0,68,67500.0,22,9
Sen. Kevin Cramer (R-ND),(R-ND),members-table,0.0,0,239500.0,78,37500.0,14,6
"Reps. Don Beyer And Bill Foster Were Among The Honorees, Cta Digital Patriots Dinner",,,0.0,0,276989.0,1,0.0,0,1
Sen. John Boozman (R-AR),(R-AR),members-table,10300.0,4,192000.0,65,73500.0,21,5
Rep. David Scott (D-GA),(D-GA),members-table,0.0,0,227000.0,86,44000.0,22,8
Equality PAC,,,15625.0,8,212500.0,49,36500.0,11,1
Sen. Christopher A. Coons (D-DE),(D-DE),members-table,1000.0,1,173000.0,62,84000.0,24,5
Rep. Warren Davidson (R-OH),(R-OH),members-table,11800.0,6,220100.0,90,23600.0,10,5
Sen. Tim Kaine (D-VA),(D-VA),members-table,0.0,0,165750.0,53,87500.0,37,6
Sen. Kyrsten Sinema (I-AZ),(I-AZ),manual,0.0,0,213000.0,78,38090.0,13,6
"Gail Mcgovern, Board Member, Mary Berner, Board Member, David Brandon, Board Member, Herman Bulls, Board Member, Christina Chiu, Board Member, David Clark, Board Member, Steven Collis, Board Member",,,0.0,0,250000.0,1,0.0,0,1
Sponsorship Of The Nso Pops Season (Payment 2 Of 2),,,0.0,0,0.0,0,250000.0,1,1
Sponsorship Of The 2025 Nso Pops Season,,,0.0,0,0.0,0,250000.0,1,1
Sponsorship Of The Gershwin Prize,,,0.0,0,0.0,0,250000.0,1,1
Rep. Mike Thompson (D-CA),(D-CA),members-table,0.0,0,184500.0,71,64500.0,26,4
Rep. Brian K. Fitzpatrick (R-PA),(R-PA),members-table,0.0,0,188000.0,70,53000.0,22,6
Rep. William R. Timmons IV (R-SC),(R-SC),members-table,1500.0,1,208250.0,86,28500.0,12,8
Rep. Daniel Meuser (R-PA),(R-PA),members-table,1500.0,1,191250.0,88,45000.0,14,6
Rep. Mike Carey (R-OH),(R-OH),members-table,5000.0,3,190000.0,90,42700.0,27,4
Sen. Todd Young (R-IN),(R-IN),members-table,0.0,0,189500.0,65,44500.0,15,8
Sen. Jacky Rosen (D-NV),(D-NV),members-table,1000.0,1,140781.0,58,90000.0,30,8
New Democrat Coalition Action Fund,,,13125.0,6,181000.0,38,37500.0,8,1
Rep. Mike Flood (R-NE),(R-NE),members-table,6800.0,4,199250.0,95,23595.0,14,6
Congressional Black Caucus PAC,,,7500.0,2,178899.0,46,43000.0,10,1
Rep. Bradley Scott Schneider (D-IL),(D-IL),members-table,5500.0,5,161500.0,65,61000.0,25,7
Rep. Jimmy Panetta (D-CA),(D-CA),members-table,1000.0,1,167500.0,81,57500.0,31,6
Natl Rep. Sen. Cmte(Nrsc)-Federal Acct,,,0.0,0,225000.0,13,0.0,0,1
2025 Congressional Baseball Game,,,0.0,0,225000.0,2,0.0,0,1
Rep. Vern Buchanan (R-FL),(R-FL),members-table,0.0,0,168500.0,59,55990.0,20,5
Rep. Frank D. Lucas (R-OK),(R-OK),members-table,0.0,0,202650.0,82,21000.0,10,6
Rep. Vicente Gonzalez (D-TX),(D-TX),members-table,3000.0,4,170000.0,82,50590.0,27,7
Sen. Jerry Moran (R-KS),(R-KS),members-table,0.0,0,179750.0,57,41750.0,19,6
Rep. Emanuel Cleaver (D-MO),(D-MO),members-table,0.0,0,191500.0,79,24000.0,14,9
Sen. Cynthia M. Lummis (R-WY),(R-WY),members-table,45500.0,14,123500.0,49,43500.0,16,8
Sen. Catherine Cortez Masto (D-NV),(D-NV),members-table,1850.0,2,156359.0,61,51750.0,17,5
"Tannia Talento, Regional Director Of Northern Virginia For U.S. Senator Mark R. Warner",,,0.0,0,205000.0,4,0.0,0,1
Rep. Scott Fitzgerald (R-WI),(R-WI),members-table,0.0,0,164708.0,85,39750.0,19,6
Rep. Randy Feenstra (R-IA),(R-IA),members-table,1000.0,1,168500.0,71,34595.0,21,7
Rep. Madeleine Dean (D-PA),(D-PA),members-table,0.0,0,159500.0,70,44500.0,24,5
Rep. Erin Houchin (R-IN),(R-IN),members-table,4000.0,4,172750.0,94,27000.0,12,4
House Problem Solvers Caucus And Sen. Jacky Rosen,,,0.0,0,203722.0,1,0.0,0,1
Rep. Eleanor Holmes Norton (D-DC),(D-DC),members-table,0.0,0,200000.0,2,3000.0,3,3
"Carleen Herring, Secretary, Us Economic Development Administration",,,0.0,0,200000.0,2,0.0,0,1
Rep. Ron Estes (R-KS),(R-KS),members-table,0.0,0,149000.0,64,47000.0,19,4
Sen. Mitch McConnell (R-KY),(R-KY),members-table,0.0,0,158500.0,43,37000.0,11,4
Dem Cong Camp Cmte(Dccc)-Federal Acct,,,0.0,0,195000.0,11,0.0,0,1
NRSC Building Fund,,,0.0,0,150000.0,5,42000.0,4,2
Rep. Ashley Hinson (R-IA),(R-IA),members-table,1000.0,1,131500.0,58,57595.0,25,5
John F. Kennedy Library Foundation,,,0.0,0,190000.0,7,0.0,0,2
Sen. Bob Casey (D-PA),(D-PA),manual,750.0,2,119500.0,46,68950.0,23,12
Sen. James Lankford (R-OK),(R-OK),members-table,250.0,1,144000.0,57,42000.0,16,6
Sen. Marsha Blackburn (R-TN),(R-TN),members-table,0.0,0,150700.0,59,35000.0,18,6
Rep. Gwen Moore (D-WI),(D-WI),members-table,0.0,0,133500.0,52,51500.0,25,6
Sen. Margaret Wood Hassan (D-NH),(D-NH),members-table,0.0,0,121834.0,52,61850.0,25,8
Sen. Patty Murray (D-WA),(D-WA),members-table,0.0,0,103134.0,38,77000.0,22,5
"Board Member - Donald Layton, Freddie Mac, Federal Gse",,,0.0,0,180000.0,1,0.0,0,1
Rep. Kevin Hern (R-OK),(R-OK),members-table,0.0,0,139000.0,54,40000.0,18,4
Rep. John B. Larson (D-CT),(D-CT),members-table,0.0,0,145000.0,60,34000.0,16,5
Rep. David P. Joyce (R-OH),(R-OH),members-table,1000.0,1,152300.0,68,24750.0,17,8
Rep. Barry Loudermilk (R-GA),(R-GA),members-table,0.0,0,167550.0,72,10000.0,5,5
Rep. Maxine Waters (D-CA),(D-CA),members-table,2900.0,1,139750.0,55,34500.0,9,3
Chc Bold PAC,,,7500.0,2,138500.0,32,30000.0,6,2
Rep. Joseph D. Morelle (D-NY),(D-NY),members-table,0.0,0,124500.0,67,50500.0,26,6
Sen. Roger F. Wicker (R-MS),(R-MS),members-table,0.0,0,133500.0,44,41095.0,18,5
Rep. Blake D. Moore (R-UT),(R-UT),members-table,1000.0,1,138000.0,60,32685.0,21,6
Rep. Roger Williams (R-TX),(R-TX),members-table,0.0,0,151500.0,62,18250.0,11,4
Sen. David McCormick (R-PA),(R-PA),members-table,825.0,1,130500.0,44,38302.0,14,6
Rep. David Kustoff (R-TN),(R-TN),members-table,0.0,0,141000.0,55,26500.0,16,4
Rep. Thomas R. Suozzi (D-NY),(D-NY),members-table,1500.0,3,129000.0,63,35000.0,14,8
NRCC Building Fund,,,0.0,0,135000.0,4,30000.0,2,2
Sen. Joni Ernst (R-IA),(R-IA),members-table,2000.0,1,96500.0,30,63500.0,18,5
Sen. Ruben Gallego (D-AZ),(D-AZ),members-table,9500.0,7,106000.0,40,44500.0,16,7
Rep. Linda Sanchez,,,0.0,0,93000.0,49,65000.0,26,3
Sen. Tina Smith (D-MN),(D-MN),members-table,0.0,0,120000.0,47,37750.0,12,3
Sen. Ted Budd (R-NC),(R-NC),members-table,2000.0,1,129000.0,45,26090.0,11,7
Rep. Lisa C. McClain (R-MI),(R-MI),members-table,1000.0,1,122500.0,58,31000.0,14,5
Rep. Guy Reschenthaler (R-PA),(R-PA),members-table,0.0,0,104000.0,38,50000.0,19,4
Sen. John R. Curtis (R-UT),(R-UT),members-table,500.0,1,122000.0,48,31095.0,18,9
Sen. Susan M. Collins (R-ME),(R-ME),members-table,0.0,0,101000.0,37,52000.0,17,5
Rep. Joe Neguse (D-CO),(D-CO),members-table,0.0,0,108000.0,53,44000.0,21,6
Rep. Cathy Mcmorris Rodgers,,,0.0,0,96500.0,33,55000.0,21,4
Republican National Committee,,,0.0,0,120035.0,7,30000.0,1,1
Rep. Zachary Nunn (R-IA),(R-IA),members-table,1000.0,1,115500.0,60,33500.0,15,4
Dem Sen. Camp Cmte(Dscc)-Federal Acct,,,0.0,0,150000.0,10,0.0,0,1
Rep. Nikema Williams (D-GA),(D-GA),members-table,0.0,0,111500.0,55,37500.0,24,4
Sen. Lisa Murkowski (R-AK),(R-AK),members-table,0.0,0,94000.0,26,55000.0,24,5
"Rep. Donald S. Beyer, Jr. (D-VA)",(D-VA),members-table,0.0,0,91000.0,38,56750.0,22,10
Sen. Deb Fischer (R-NE),(R-NE),members-table,9300.0,4,96000.0,41,40000.0,15,7
Sen. Jim Banks (R-IN),(R-IN),members-table,1000.0,1,133750.0,53,10500.0,8,9
"Rep. Frank Pallone, Jr. (D-NJ)",(D-NJ),members-table,250.0,1,89500.0,31,55500.0,18,8
Rep. Mike Quigley (D-IL),(D-IL),members-table,0.0,0,108500.0,51,36500.0,15,6
Rep. Steve Womack (R-AR),(R-AR),members-table,0.0,0,120000.0,50,24500.0,13,7
Sen. Pete Ricketts (R-NE),(R-NE),members-table,0.0,0,120500.0,45,22000.0,11,4
Rep. Tom Cole (R-OK),(R-OK),members-table,0.0,0,113000.0,39,29421.0,11,5
Rep. Adrian Smith (R-NE),(R-NE),members-table,0.0,0,107500.0,48,34900.0,18,6
Sen. Ron Wyden (D-OR),(D-OR),members-table,7900.0,3,95500.0,30,38500.0,16,7
Rep. Robert Menendez (D-NJ),(D-NJ),members-table,3500.0,4,99000.0,45,39300.0,16,15
Rep. Brett Guthrie (R-KY),(R-KY),members-table,0.0,0,100000.0,35,40000.0,22,4
Rep. Troy Balderson (R-OH),(R-OH),members-table,0.0,0,122000.0,46,17095.0,7,3
Rep. Elise M. Stefanik (R-NY),(R-NY),members-table,0.0,0,92000.0,29,46400.0,13,6
Rep. Jodey C. Arrington (R-TX),(R-TX),members-table,0.0,0,115500.0,53,22000.0,13,5
Rep. Angie Craig (D-MN),(D-MN),members-table,21000.0,9,69500.0,34,45790.0,23,6
Rep. Robin L. Kelly (D-IL),(D-IL),members-table,0.0,0,80483.0,38,55650.0,27,5
Rep. Haley M. Stevens (D-MI),(D-MI),members-table,1000.0,1,93750.0,34,40750.0,19,5
Moderate Democrats PAC,,,2500.0,1,115000.0,25,17500.0,4,1
Natl Rep. Cong Cmte(Nrcc)-Federal Acct,,,0.0,0,135000.0,9,0.0,0,1
Rep. Juan Vargas (D-CA),(D-CA),members-table,0.0,0,102000.0,50,32500.0,16,5
Sen. Shelley Moore Capito (R-WV),(R-WV),members-table,0.0,0,98500.0,44,36000.0,15,7
Rep. Dusty Johnson (R-SD),(R-SD),members-table,6500.0,5,101500.0,46,25095.0,16,5
Rep. Pete Sessions (R-TX),(R-TX),members-table,0.0,0,109000.0,44,20340.0,10,4
Rep. Claudia Tenney (R-NY),(R-NY),members-table,1000.0,1,95500.0,50,32000.0,15,3
Rep. Sylvia R. Garcia (D-TX),(D-TX),members-table,0.0,0,100000.0,51,28500.0,12,4
Rep. Mike Rogers (R-AL),(R-AL),members-table,825.0,1,98500.0,42,29000.0,18,11
Sen. Chris Van Hollen (D-MD),(D-MD),members-table,0.0,0,86400.0,35,39000.0,13,8
Sponsorship Of The National Archives Congressional Open House And A Two-Year Silver Level Corporate Council Membership,,,0.0,0,0.0,0,125000.0,1,1
Rep. Nicole Malliotakis (R-NY),(R-NY),members-table,0.0,0,90000.0,43,34500.0,19,4
Sen. Bernie Moreno (R-OH),(R-OH),members-table,15925.0,9,103000.0,33,5500.0,3,6
Democratic National Committee,,,0.0,0,61702.0,37,62200.0,8,1
Rep. Lloyd Smucker (R-PA),(R-PA),members-table,0.0,0,90000.0,40,33595.0,16,6
Rep. Scott H. Peters (D-CA),(D-CA),members-table,0.0,0,94000.0,42,29090.0,18,5
Rep. Glenn Thompson (R-PA),(R-PA),members-table,10750.0,6,87000.0,33,23095.0,14,6
Members Of The Chc,,,0.0,0,120000.0,3,0.0,0,1
Rep. Susie Lee (D-NV),(D-NV),members-table,1000.0,2,68000.0,28,50685.0,28,4
Rep. Tim Walberg (R-MI),(R-MI),members-table,0.0,0,94000.0,45,24521.0,12,5
Sen. Dan Sullivan (R-AK),(R-AK),members-table,0.0,0,76500.0,28,42000.0,14,7
"Rep. Sanford D. Bishop, Jr. (D-GA)",(D-GA),members-table,0.0,0,92000.0,30,26500.0,16,11
Sen. Eric Schmitt (R-MO),(R-MO),members-table,0.0,0,95000.0,27,22750.0,13,6
Rep. Carol D. Miller (R-WV),(R-WV),members-table,0.0,0,91500.0,38,24075.0,18,4
Marco Rubio,,,0.0,0,99250.0,33,16250.0,7,4
Board Member - Ghada Ijam,,,0.0,0,115000.0,1,0.0,0,1
"Ghada Ijam, Cio Of Federal Reserve",,,0.0,0,115000.0,1,0.0,0,1
Federal Reserve Bank Of Richmond - Ghada Ijam,,,0.0,0,115000.0,1,0.0,0,1
Sen. Mike Lee (R-UT),(R-UT),members-table,0.0,0,70000.0,23,44000.0,15,4
Rep. Virginia Foxx (R-NC),(R-NC),members-table,0.0,0,79500.0,24,34000.0,13,5
Sen. Angela D. Alsobrooks (D-MD),(D-MD),members-table,8300.0,7,62075.0,29,42523.0,38,5
Rep. Jake Auchincloss (D-MA),(D-MA),members-table,6800.0,2,75750.0,33,30000.0,15,6
Rep. Julia Letlow (R-LA),(R-LA),members-table,0.0,0,95500.0,40,17000.0,12,3
Rep. W. Blaine Luetkemeyer,,,0.0,0,94000.0,31,17000.0,6,3
Rep. Byron Donalds (R-FL),(R-FL),members-table,3300.0,1,101700.0,52,4500.0,3,4
Rep. Donald Norcross (D-NJ),(D-NJ),members-table,0.0,0,85000.0,34,23500.0,15,4
Sen. Bill Cassidy (R-LA),(R-LA),members-table,0.0,0,80000.0,33,28500.0,11,6
Rep. Brendan F. Boyle (D-PA),(D-PA),members-table,2000.0,2,64000.0,29,42000.0,19,4
Rep. Shontel M. Brown (D-OH),(D-OH),members-table,0.0,0,67500.0,34,40000.0,20,7
Rep. David G. Valadao (R-CA),(R-CA),members-table,0.0,0,64500.0,23,42595.0,21,5
Rep. Deborah K. Ross (D-NC),(D-NC),members-table,0.0,0,80500.0,37,26500.0,14,5
Rep. Juan Ciscomani (R-AZ),(R-AZ),members-table,0.0,0,68500.0,29,37595.0,24,4
Sen. Martin Heinrich (D-NM),(D-NM),members-table,1000.0,1,69500.0,33,35000.0,18,5
Sen. Tammy Duckworth (D-IL),(D-IL),members-table,0.0,0,82500.0,27,23000.0,6,4
Rep. Michelle Steel,,,1000.0,1,81000.0,34,23095.0,12,3
Us Dept Of Customs And Border Protection Gordon Harmon,,,0.0,0,105000.0,1,0.0,0,1
Rep. Robert E. Latta (R-OH),(R-OH),members-table,0.0,0,77233.0,36,27500.0,13,7
Rep. Mike Kelly (R-PA),(R-PA),members-table,0.0,0,82500.0,26,22000.0,14,5
"Sen. Angus S. King, Jr. (I-ME)",(I-ME),members-table,0.0,0,75000.0,23,29500.0,10,6
Rep. Donald G. Davis (D-NC),(D-NC),members-table,1500.0,3,71750.0,28,30500.0,16,5
Sen. Kirsten E. Gillibrand (D-NY),(D-NY),members-table,11600.0,5,66500.0,25,25500.0,10,4
Sen. John Kennedy (R-LA),(R-LA),members-table,250.0,1,91300.0,34,11500.0,7,6
Rep. Darren Soto (D-FL),(D-FL),members-table,11000.0,7,65000.0,32,27000.0,15,4
Rep. Sharice Davids (D-KS),(D-KS),members-table,0.0,0,52500.0,25,49640.0,26,4
Carleen Herring -Us Department Of Commerce,,,0.0,0,101520.0,2,0.0,0,2
Rep. Derek Kilmer,,,0.0,0,73000.0,35,28500.0,19,3
Brad Schneider,,,1000.0,1,95500.0,38,4500.0,2,1
Rep. Sam T. Liccardo (D-CA),(D-CA),members-table,5300.0,4,71500.0,43,24000.0,10,5
Sen. Chuck Grassley (R-IA),(R-IA),members-table,0.0,0,74000.0,29,26500.0,8,6
Rep. Chrissy Houlahan (D-PA),(D-PA),members-table,0.0,0,74000.0,36,26090.0,13,4
Us Dept. Of Justice - Shina Majeed,,,0.0,0,100000.0,1,0.0,0,1
"Board Members - Martin Gruenberg, Fdic Fed Gov; Michelle W. Bowman, Fed Res Fed Gov; Grovetta Gardineer, Occ Fed Gov; Rodney E Hood, Nat Cred Union Adm, Fed G; Adrianne Todman, Hud Fed Gov",,,0.0,0,100000.0,1,0.0,0,1
"Martin Gruenberg Fdic Chairman, Rodney E. Hood National Credit Union Administration, Grovetta Gardineer Office Of The Comptroller Of The Currency, Adrianne Todman U.S. Dept Of Housing And Ud",,,0.0,0,100000.0,1,0.0,0,1
"Board Member - Carleen Herring, Us Dept Of Commerce",,,0.0,0,100000.0,1,0.0,0,1
Asian Pacific American Institute For Congressional Studies,,,0.0,0,50000.0,2,50000.0,2,1
Sponsorship Of The Women'S E3 Summit (Payment 1 Of 2),,,0.0,0,0.0,0,100000.0,1,1
Sponsorship Of The Gershwin Prize For Popular Song Event,,,0.0,0,0.0,0,100000.0,1,1
"Sponsorship Of The Program ""From Her Lens: Perspectives On Race""",,,0.0,0,0.0,0,100000.0,1,1
Sponsorship Of The Hip Hop Block Party,,,0.0,0,0.0,0,100000.0,1,1
"Sponsorship Of The 2024 Women'S Summit ""Lifting As We Climb Mentoring And Motivating""",,,0.0,0,0.0,0,100000.0,1,1
Congressional Board Members,,,0.0,0,0.0,0,100000.0,1,1
Sponsorship Of The Women'S E3 Summit (Payment 2 Of 2),,,0.0,0,0.0,0,100000.0,1,1
Sen. Tom Cotton (R-AR),(R-AR),members-table,0.0,0,75000.0,24,24500.0,9,5
Rep. Lou Correa,,,0.0,0,65000.0,25,34185.0,23,4
Rep. Zoe Lofgren (D-CA),(D-CA),members-table,1000.0,1,50000.0,17,48100.0,19,4
Rep. Marc A. Veasey (D-TX),(D-TX),members-table,2000.0,2,51000.0,24,45500.0,25,6
Rep. Don Bacon (R-NE),(R-NE),members-table,0.0,0,74000.0,31,23095.0,14,5
Rep. Beth Van Duyne (R-TX),(R-TX),members-table,1000.0,1,70500.0,28,25250.0,13,3
Sen. Jack Reed (D-RI),(D-RI),members-table,0.0,0,37000.0,25,59250.0,18,8
Rep. Monica De La Cruz (R-TX),(R-TX),members-table,0.0,0,89500.0,48,5250.0,4,3
Rep. Rick Larsen (D-WA),(D-WA),members-table,0.0,0,31500.0,19,62000.0,23,4
Rep. Stephanie I. Bice (R-OK),(R-OK),members-table,0.0,0,62000.0,23,31000.0,14,4
Rep. Hillary J. Scholten (D-MI),(D-MI),members-table,0.0,0,58500.0,25,34500.0,16,5
Rep. Emilia Strong Sykes (D-OH),(D-OH),members-table,0.0,0,62250.0,25,30000.0,16,4
Rep. Julie Johnson (D-TX),(D-TX),members-table,1000.0,1,59750.0,23,31300.0,13,4
Rep. Michelle Fischbach (R-MN),(R-MN),members-table,0.0,0,75000.0,34,15595.0,11,4
Rep. James Comer (R-KY),(R-KY),members-table,0.0,0,52500.0,19,38095.0,16,7
Rep. Gus M. Bilirakis (R-FL),(R-FL),members-table,0.0,0,69500.0,30,21090.0,13,5
Rep. Jimmy Gomez (D-CA),(D-CA),members-table,1000.0,1,47000.0,29,42500.0,23,3
Sponsorship And Support Of The 2022 Library Of Congress National Book Festival,,,0.0,0,0.0,0,90000.0,1,1
Rep. Marilyn Strickland (D-WA),(D-WA),members-table,0.0,0,46000.0,19,43500.0,23,3
Sen. Tammy Baldwin (D-WI),(D-WI),members-table,0.0,0,33000.0,15,55833.0,20,7
Rep. Judy Chu (D-CA),(D-CA),members-table,0.0,0,66500.0,28,21500.0,9,4
Rep. Alma S. Adams (D-NC),(D-NC),members-table,0.0,0,55750.0,28,32000.0,20,7
Rep. John R. Moolenaar (R-MI),(R-MI),members-table,0.0,0,82000.0,42,5500.0,4,4
Rep. Bennie G. Thompson (D-MS),(D-MS),members-table,0.0,0,41000.0,12,46480.0,27,7
Us Court Of Appeals - The Hon. James E. Graves Jr. And The Hon. Cornelia T.L. Pillard,,,0.0,0,87000.0,1,0.0,0,1
Rep. Nikki Budzinski (D-IL),(D-IL),members-table,4000.0,5,56750.0,35,26000.0,10,6
Rep. Maria Elvira Salazar (R-FL),(R-FL),members-table,0.0,0,68000.0,33,18500.0,11,5
Sen. Tim Sheehy (R-MT),(R-MT),members-table,4300.0,2,59500.0,17,22000.0,6,4
Zach Nunn,,,0.0,0,81500.0,41,4000.0,2,1
Rep. Ted Lieu (D-CA),(D-CA),members-table,2000.0,2,43000.0,21,39000.0,14,4
Sen. John Hoeven (R-ND),(R-ND),members-table,0.0,0,68500.0,24,14590.0,6,6
Sen. Markwayne Mullin,,,0.0,0,61000.0,21,21500.0,13,3
Rep. Chris Pappas (D-NH),(D-NH),members-table,0.0,0,55500.0,20,26700.0,12,3
Rep. David Schweikert (R-AZ),(R-AZ),members-table,1500.0,1,51500.0,27,29000.0,13,7
Sen. Jon Husted (R-OH),(R-OH),members-table,0.0,0,57000.0,24,25000.0,10,4
Rep. Doris O. Matsui (D-CA),(D-CA),members-table,0.0,0,21500.0,12,60500.0,22,5
Rep. Wiley Nickel,,,2500.0,3,59000.0,32,20000.0,8,4
