filing_year,filing_period,general_issue_code,description,show_record_key
2022,third_quarter,BUD,"H.R.8282 & S.4662 - Department of State, Foreign Operations, and Related Programs Appropriations Act, 2023 H.R.8257 & S.4678 - Department of Homeland Security Appropriations Act, 2023 H.R.8236 & S.4663 - Department of Defense Appropriations Act, 2023 H.R.8239 & S.4661 - Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2023 H.R.8255 & S.4660 - Energy and Water Development and Related Agencies Appropriations Act, 2023 H.R.8295 & S.4659 - Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2023 H.R.6833 - Making continuing appropriations for fiscal year 2023, and for other purposes.",ab368ce0-f3f5-4fa6-b723-2de75b38f273
2022,third_quarter,DEF,S.4366 & H.R. 7987- Defend Act H.R.7900 & S.4543 - National Defense Authorization Act for Fiscal Year 2023,ab368ce0-f3f5-4fa6-b723-2de75b38f273
2022,third_quarter,FOR,S.221 & H.R.852 - United States-Israel PTSD Collaborative Research Act H.R.3685 - Hamas International Financing Prevention Act S.1904 - Palestinian International Terrorism Support Prevention Act of 2021 S.1260 - United States Innovation and Competition Act of 2021 H.R. 4521 - America COMPETES Act of 2022 H. R. 4346 - The CHIPS and Science Act of 2022 S.2120 & H.R.5148 - United States-Israel Artificial Intelligence Center Act S.3421 & H.R.6089 - Stop Iranian Drones Act of 2021 H.R.7223 & S.4389 - COI Elimination Act S.4746 & H.R.8868 - Solidify Iran Sanctions Act of 2022 S.4554 - Iran Nuclear Weapons Capability Monitoring Act of 2022 H.R.2374 - Peace and Tolerance in Palestinian Education Act S.Res.773 & H.Res.1359 - Commemorating the second anniversary of the signing of the Abraham Accords Declaration S.4653 - Department of State Authorization Act of 2022 Iran International Criminal Court,ab368ce0-f3f5-4fa6-b723-2de75b38f273
2022,fourth_quarter,AGR,"S.1518 - A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to authorize appropriations for the United States-Israel Binational Agricultural Research and Development Fund.",6303ae26-7164-4b27-9bde-98f46f66a807
2022,fourth_quarter,BUD,"H.R.8282 & S.4662 - Department of State, Foreign Operations, and Related Programs Appropriations Act, 2023 H.R.8257 & S.4678 - Department of Homeland Security Appropriations Act, 2023 H.R.8236 & S.4663 - Department of Defense Appropriations Act, 2023 H.R.8239 & S.4661 - Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2023 H.R.8255 & S.4660 - Energy and Water Development and Related Agencies Appropriations Act, 2023 H.R.8295 & S.4659 - Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2023 H.R.2617 - Consolidated Appropriations Act, 2023",6303ae26-7164-4b27-9bde-98f46f66a807
2022,fourth_quarter,DEF,S.4366 & H.R. 7987- Defend Act H.R.7900 & S.4543 - National Defense Authorization Act for Fiscal Year 2023,6303ae26-7164-4b27-9bde-98f46f66a807
2022,fourth_quarter,FOR,"S.221 & H.R.852 - United States-Israel PTSD Collaborative Research Act H.R.3685 - Hamas International Financing Prevention Act S.1904 - Palestinian International Terrorism Support Prevention Act of 2021 S.1260 - United States Innovation and Competition Act of 2021 H.R. 4521 - America COMPETES Act of 2022 H. R. 4346 - The CHIPS and Science Act of 2022 S.2120 & H.R.5148 - United States-Israel Artificial Intelligence Center Act S.3421 & H.R.6089 - Stop Iranian Drones Act of 2021 H.R.7223 & S.4389 - COI Elimination Act S.4746 & H.R.8868 - Solidify Iran Sanctions Act of 2022 S.4554 - Iran Nuclear Weapons Capability Monitoring Act of 2022 H.R.2374 - Peace and Tolerance in Palestinian Education Act S.Res.773 & H.Res.1359 - Commemorating the second anniversary of the signing of the Abraham Accords Declaration S.4653 - Department of State Authorization Act of 2022 H.Con.Res.110 & S.Con.Res.47 - Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 80 cities and risking their safety to speak out against the Iranian regime's human rights abuses. H.Res.1397 & S.Res.803 - Condemning the Government of Iran's torture and murder of Mahsa Amini and its crackdown on protesters seeking basic human rights, and supporting the protesters in their demands for freedom. Iran International Criminal Court",6303ae26-7164-4b27-9bde-98f46f66a807
2023,first_quarter,BUD,"FY 24 - State, Foreign Operations, and Related Programs Appropriations Bills FY 24 - Homeland Security Appropriations Bills FY 24 - Defense Appropriations Bills FY 24 - Agriculture Appropriations Bills FY 24 - Energy and Water Appropriations Bills FY 24 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills",2f4915af-1c96-4567-8a5e-2f15f2b04c5a
2023,first_quarter,DEF,H.R.1777 - The U.S.-Israel Future of Warfare Act H.R.1218 & S.510 - Expediting Israeli Aerial Refueling Act of 2023,2f4915af-1c96-4567-8a5e-2f15f2b04c5a
2023,first_quarter,FOR,H.R.2454 & S.1143 - United States-Israel PTSD Collaborative Research Act H.Con.Res.7 & S. Con. Res. 2 - A concurrent resolution supporting the Iranian protesters H.R.340 - Hamas International Financing Prevention Act Iran International Criminal Court,2f4915af-1c96-4567-8a5e-2f15f2b04c5a
2023,second_quarter,BUD,"FY 24 - State, Foreign Operations, and Related Programs Appropriations Bills FY 24 - Homeland Security Appropriations Bills FY 24 - Defense Appropriations Bills S. 2131 & FY 24 - Agriculture Appropriations Bills FY 24 - Energy and Water Appropriations Bills FY 24 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills",8a3a3991-070b-472e-9c9d-07659053e2dd
2023,second_quarter,DEF,H.R.1777 & S.1802 - The U.S.-Israel Future of Warfare Act H.R.1218 & S.510 - Expediting Israeli Aerial Refueling Act of 2023 H.R.2670 - National Defense Authorization Act for Fiscal Year 2024 H.R.2531 - United States-Israel Anti-Tunnel Cooperation Extension Act,8a3a3991-070b-472e-9c9d-07659053e2dd
2023,second_quarter,FOR,"H.R.2454 & S.1143 - United States-Israel PTSD Collaborative Research Act S. Con. Res. 2 - A concurrent resolution supporting the Iranian protesters H.R.340 - Hamas International Financing Prevention Act S.1647 - Hamas and Palestinian Islamic Jihad International Terrorism Support Prevention Act of 2023 H.R. 3774 & S. 1829 - The Stop Harboring Iranian Petroleum Act H.R. 3152 - The Fight and Combat Rampant Iranian Missile Exports Act H.R. 3792 - U.S.-Israel Partnership and Abraham Accords Enhancement Act H.R. 4076 - To authorize funding for a bilateral cooperative program with Israel for the development of health technologies. H.Res.311 - Encouraging the expansion and strengthening of the Abraham Accords to urge other nations to normalize relations with Israel and ensure that existing agreements reap tangible security and economic benefits for the citizens of those countries and all peoples in the region. S.Res.188 - A resolution celebrating the 75th anniversary of the founding of the State of Israel, and for other purposes H.R. 3907 - United States-Israel International Development Cooperation Act H.R.3103 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act Iran International Criminal Court H.Res.559 - Declaring it is the policy of the United States that a nuclear Islamic Republic of Iran is not acceptable. H.R.3266 - Peace and Tolerance in Palestinian Education Act H.R.3099 - Special Envoy for the Abraham Accords Act H.R.3033 & S.1390 - Solidify Iran Sanctions Act of 2023 H.R.2973 & S.1334 - MARITIME Act of 2023 S.1981 - A bill to modify the Iran Nuclear Weapons Capability and Terrorism Monitoring Act of 2022.",8a3a3991-070b-472e-9c9d-07659053e2dd
2023,third_quarter,BUD,"H.R. 4665 & S. 2438 - State, Foreign Operations, and Related Programs Appropriations Bills H.R. 4367 & S. 2625 - Homeland Security Appropriations Bills H.R. 4365 & S. 2587 - Defense Appropriations Bills H.R. 4368 & S. 2131 - Agriculture Appropriations Bills H.R. 4394 & S. 2443 - Energy and Water Appropriations Bills S. 2624 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills H.R. 5525 - Continuing Appropriations and Border Security Enhancement Act, 2024 H.R. 3935 - Securing Growth and Robust Leadership in American Aviation Act H.R. 5860 - Making continuing appropriations for fiscal year 2024, and for other purposes",97601671-6098-48b0-86a1-dcf1b6599956
2023,third_quarter,DEF,H.R.1777 & S.1802 - The U.S.-Israel Future of Warfare Act H.R.1218 & S.510 - Expediting Israeli Aerial Refueling Act of 2023 H.R.2670 - National Defense Authorization Act for Fiscal Year 2024 H.R.2531 - United States-Israel Anti-Tunnel Cooperation Extension Act,97601671-6098-48b0-86a1-dcf1b6599956
2023,third_quarter,FOR,"H.R.2454 & S.1143 - United States-Israel PTSD Collaborative Research Act S. Con. Res. 2 - A concurrent resolution supporting the Iranian protesters H.R.340 - Hamas International Financing Prevention Act S.1647 - Hamas and Palestinian Islamic Jihad International Terrorism Support Prevention Act of 2023 H.R. 3774 & S. 1829 - The Stop Harboring Iranian Petroleum Act H.R. 3152 - The Fight and Combat Rampant Iranian Missile Exports Act H.R. 3792 - U.S.-Israel Partnership and Abraham Accords Enhancement Act H.R. 4076 - To authorize funding for a bilateral cooperative program with Israel for the development of health technologies. H.Res.311 - Encouraging the expansion and strengthening of the Abraham Accords to urge other nations to normalize relations with Israel and ensure that existing agreements reap tangible security and economic benefits for the citizens of those countries and all peoples in the region. S.Res.188 - A resolution celebrating the 75th anniversary of the founding of the State of Israel, and for other purposes H.R. 3907 & S.2240 - United States-Israel International Development Cooperation Act H.R.3103 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act Iran International Criminal Court H.Res.559 - Declaring it is the policy of the United States that a nuclear Islamic Republic of Iran is not acceptable. H.R.3266 - Peace and Tolerance in Palestinian Education Act H.R.3099 - Special Envoy for the Abraham Accords Act H.R.3033 & S.1390 - Solidify Iran Sanctions Act of 2023 H.R.2973 & S.1334 - MARITIME Act of 2023 S.1981 - A bill to modify the Iran Nuclear Weapons Capability and Terrorism Monitoring Act of 2022. S. 2336 - Missiles Act S. 2413 - Reginal Integration and Normalization Act H.R.3016 - IGO Anti-Boycott Act S.2626/ H.R.589 MAHSA Act H.Res.492 - Condemning the Government of Iran's state-sponsored persecution of the Baha'i minority and its continued violation of the International Covenants on Human Rights.",97601671-6098-48b0-86a1-dcf1b6599956
2023,fourth_quarter,BUD,"H.R. 4665 & S. 2438 - State, Foreign Operations, and Related Programs Appropriations Bills H.R. 4367 & S. 2625 - Homeland Security Appropriations Bills H.R. 4365 & S. 2587 - Defense Appropriations Bills H.R. 4368 & S. 2131 - Agriculture Appropriations Bills H.R. 4394 & S. 2443 - Energy and Water Appropriations Bills H.R. 4891 & S. 2624 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills H.R. 6363 - Further Continuing Appropriations and Other Extensions Act, 2024 H.R. 6126 - Israel Security Supplemental Appropriations Act, 2024 H.R. 5692 - Ukraine Security Assistance and Oversight Supplemental Appropriations Act, 2024 H.R. 4664 - FY 24 House Financial Services Appropriations Bill H.R. 815 - Legislative vehicle for supplemental appropriations",6cd74118-447b-49ae-9d7d-373cd7d1f41d
2023,fourth_quarter,DEF,H.R.1777 & S.1802 - The U.S.-Israel Future of Warfare Act H.R.1218 & S.510 - Expediting Israeli Aerial Refueling Act of 2023 H.R.2670 & S. 2226 - National Defense Authorization Act for Fiscal Year 2024 H.R.2531 - United States-Israel Anti-Tunnel Cooperation Extension Act H.R. 2973 & S. 1334 - MARITIME Act of 2023,6cd74118-447b-49ae-9d7d-373cd7d1f41d
2023,fourth_quarter,FOR,"H.R. 2454 & S.1143 - United States-Israel PTSD Collaborative Research Act H.R.340 - Hamas International Financing Prevention Act S.1647 - Hamas and Palestinian Islamic Jihad International Terrorism Support Prevention Act of 2023 H.R. 3774 & S. 1829 - The Stop Harboring Iranian Petroleum Act H.R. 3792 - U.S.-Israel Partnership and Abraham Accords Enhancement Act H.R. 4076 - To authorize funding for a bilateral cooperative program with Israel for the development of health technologies. H.R. 3907 & S.2240 - United States-Israel International Development Cooperation Act H.R.3103 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act Iran International Criminal Court H.Res.559 - Declaring it is the policy of the United States that a nuclear Islamic Republic of Iran is not acceptable. H.R.3266 - Peace and Tolerance in Palestinian Education Act H.R.3033 & S.1390 - Solidify Iran Sanctions Act of 2023 S.1981 - A bill to modify the Iran Nuclear Weapons Capability and Terrorism Monitoring Act of 2022. S. 2336 - Missiles Act S. 2413 - Reginal Integration and Normalization Act H.R.3016 - IGO Anti-Boycott Act S.2626 MAHSA Act H.Res. 599/S.Res. 299 - Urging the European Union to designate Hizballah in its entirety as a terrorist organization. H.R. 5826 - No Paydays for Hostage-Takers Act H. Res. 771 - Standing with Israel as it defends itself against the barbaric war launched by Hamas and other terrorists. H.R. 5917 - Strengthening Tools to Counter the Use of Human Shields Act S. Res. 417 - A resolution standing with Israel against terrorism. H.R. 5921 - No U.S. Financing for Iran Act of 2023 H.R. 5923 - Iran China Energy Sanctions Act of 2023 H.R. 5945 - Freezing HAMAS Act H.R. 5961 - No Funds for Iranian Terrorists Act H.R. 6000 - Revoke Iranian Funding Act of 2023 H.R. 6015 - Iran Sanctions Accountability Act H.R. 1809 - Block the Use of Transatlantic Technology in Iranian Made Drones Act H.R. 6245 - Holding Iranian Leaders Accountable Act of 2023 H.R. 6322 - End Financing for Hamas and State Sponsors of Terrorism Act H.R. 6323 - Iran Counterterrorism Act of 2023 H.R. 6365 - Stopping Illicit Oil Shipments Act of 2023 H.Res. 888 - Reaffirming the State of Israel's right to exist. S. 3347 - A bill to require the imposition of sanctions with respect to Ansarallah and its officials, agents, or affiliates for acts of international terrorism. H.R.5933/S.3362 - DETERRENT Act S. 3041 - A bill to reinstate certain sanctions imposed with respect to Iran. S.Res. 408 - A resolution condemning Hamas for its premeditated, coordinated, and brutal terrorist attacks on Israel and demanding that Hamas immediately release all hostages and return them to safety, and for other purposes. H.Res. 793 - A resolution calling on Hamas to immediately release hostages taken during October 2023 attack on Israel. H.R. 6046/S. 3912/S. 3347 - Standing Against Houthi Aggression Act S. Res. 462 - A resolution emphasizing the urgency of responding to attacks in Israel and the greater region from the Islamic Republic of Iran and its proxies, and for other purposes. H.R. 4681 - Illicit Captagon Trafficking Suppression Act of 2023 H.Res. 786 - Calling for an immediate deescalation and cease-fire in Israel and occupied Palestine. S.J. Res. 51 - A joint resolution directing the removal of United States Armed Forces from hostilities in Syria that have not been authorized by Congress. H.Res. 935 - Calling for the safe, timely, and sufficient delivery of humanitarian aid to civilians in the Gaza Strip. S.Res.505 - A resolution condemning the use of sexual violence and rape as a weapon of war by the terrorist group Hamas against the people of Israel. S.Res.504 - A resolution requesting information on Israel's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961. H.Res.798 - Condemning the support of Hamas, Hezbollah, and other terrorist organizations at institutions of higher education, which may lead to the creation of a hostile environment for Jewish students, faculty, and staff.",6cd74118-447b-49ae-9d7d-373cd7d1f41d
2024,first_quarter,BUD,"H.R. 4665 & S. 2438 - State, Foreign Operations, and Related Programs Appropriations Bills H.R. 4367 & S. 2625 - Homeland Security Appropriations Bills H.R. 4365 & S. 2587 - Defense Appropriations Bills H.R. 4368 & S. 2131 - Agriculture Appropriations Bills H.R. 4394 & S. 2443 - Energy and Water Appropriations Bills H.R. 4891 & S. 2624 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills H.R. 6363 - Further Continuing Appropriations and Other Extensions Act, 2024 H.R. 5692 - Ukraine Security Assistance and Oversight Supplemental Appropriations Act, 2024 H.R. 4664 - FY 24 House Financial Services Appropriations Bill H.R. 815 - Legislative vehicle for supplemental appropriations H.R. 7217 - Israel Security Supplemental Appropriations Act, 2024 H.R.2882 - Further Consolidated Appropriations Act, 2024 H. Res. 1102 - Providing for the concurrence by the House in the Senate amendment to H.R. 2882, with an amendment FY25 - State, Foreign Operations, and Related Programs Appropriations Bills FY25 - Homeland Security Appropriations Bills FY25 - Defense Appropriations Bills FY25 - Agriculture Appropriations Bills FY25 - Energy and Water Appropriations Bills FY25 - Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills",57ccdb62-3b64-40ee-8869-7e9278995ffc
2024,first_quarter,DEF,H.R. 2973 & S. 1334 - MARITIME Act of 2023 H.R.7866 - To amend the National Defense Authorization Act for Fiscal Year 2016 to improve cooperation between the United States and Israel on anti-tunnel defense capabilities. FY 2025 NDAA,57ccdb62-3b64-40ee-8869-7e9278995ffc
2024,first_quarter,FOR,"H.R. 2454 & S.1143 - United States-Israel PTSD Collaborative Research Act H.R. 3774 & S. 1829 - The Stop Harboring Iranian Petroleum Act H.R. 3792 - U.S.-Israel Partnership and Abraham Accords Enhancement Act H.R. 4076 - To authorize funding for a bilateral cooperative program with Israel for the development of health technologies. H.R. 3907 & S.2240 - United States-Israel International Development Cooperation Act H.R.3103 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act Iran International Criminal Court H.R.3033 & S.1390 - Solidify Iran Sanctions Act of 2023 S. 2336 - Missiles Act S. 2413 - Reginal Integration and Normalization Act H.R.3016 - IGO Anti-Boycott Act S.2626 MAHSA Act H.R. 5917 - Strengthening Tools to Counter the Use of Human Shields Act S. 3347 - A bill to require the imposition of sanctions with respect to Ansarallah and its officials, agents, or affiliates for acts of international terrorism. S. 3041 - A bill to reinstate certain sanctions imposed with respect to Iran. S.Res. 408 - A resolution condemning Hamas for its premeditated, coordinated, and brutal terrorist attacks on Israel and demanding that Hamas immediately release all hostages and return them to safety, and for other purposes. H.R. 6046/S. 3912/S. 3347 - Standing Against Houthi Aggression Act S. Res. 462 - A resolution emphasizing the urgency of responding to attacks in Israel and the greater region from the Islamic Republic of Iran and its proxies, and for other purposes. H.Res. 786 - Calling for an immediate deescalation and cease-fire in Israel and occupied Palestine. S.J. Res. 51 - A joint resolution directing the removal of United States Armed Forces from hostilities in Syria that have not been authorized by Congress. H.Res. 935 - Calling for the safe, timely, and sufficient delivery of humanitarian aid to civilians in the Gaza Strip. S.Res.505 - A resolution condemning the use of sexual violence and rape as a weapon of war by the terrorist group Hamas against the people of Israel. S.Res.504 - A resolution requesting information on Israel's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961. H.R. 6201/S. 3197 - Iranian Sanctions Enforcement Act H.R.7256 - U.S.-South Africa Bilateral Relations Review Act. H.Res. 966 - Condemning rape and sexual violence committed by Hamas in its war against Israel. H.R. 6679 - To amend the Immigration and Nationality Act with respect to aliens who carried out, participated in, planned, financed, supported, or otherwise facilitated the attacks against Israel. S.Res. 504 - A resolution requesting information on Israel's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961. S.3707 - Peace and Tolerance in Palestinian Education Act H.Res.1068 - Condemning rape and sexual violence against women. S.3874. - Hamas and Palestinian Islamic Jihad International Terrorism Support Prevention Act of 2024",57ccdb62-3b64-40ee-8869-7e9278995ffc
2024,second_quarter,BUD,"H.R. 815 - Legislative vehicle for supplemental appropriations H.R. 8771 - Department of State, Foreign Operations, and Related Programs Appropriations Act, 2025 and Senate version H.R.8752 - Department of Homeland Security Appropriations Act, 2025 and Senate Version H.R.8774 - Department of Defense Appropriations Act, 2025 and Senate Version H.R.9027/S.4690 - Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2025 H.R.8997 - Energy and Water Development and Related Agencies Appropriations Act, 2025 and Senate version H.R.9029 - Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2025 and Senate version H.R. 8034 - Israel Security Supplemental Appropriations Act, 2024 H. Res. 1160 - Rule for Supplemental H.R.8773 - Financial Services and General Government Appropriations Act, 2025 and Senate version H.R.9026 - Commerce, Justice, Science, and Related Agencies Appropriations Act, 2025 and Senate version",db033c64-6f06-4019-b7db-caaa264c3f50
2024,second_quarter,DEF,H.R.7866 - To amend the National Defense Authorization Act for Fiscal Year 2016 to improve cooperation between the United States and Israel on anti-tunnel defense capabilities. H.R.8070 - Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025 S.4638 - National Defense Authorization Act for Fiscal Year 2025 S.4285 - A bill to amend the National Defense Authorization Act for Fiscal Year 2016 to improve cooperation between the United States and Israel on anti-tunnel defense capabilities. S.4482 - Space Technology and Regional Security (STARS) Act,db033c64-6f06-4019-b7db-caaa264c3f50
2024,second_quarter,FOR,"H.R. 3792 - U.S.-Israel Partnership and Abraham Accords Enhancement Act H.R. 4076 - To authorize funding for a bilateral cooperative program with Israel for the development of health technologies. H.R. 3907 & S.2240 - United States-Israel International Development Cooperation Act Iran International Criminal Court H.R.3033 & S.1390 - Solidify Iran Sanctions Act of 2023 S. 2336 - Missiles Act S. 2413 - Regional Integration and Normalization Act S.2626 MAHSA Act H.R. 5917 - Strengthening Tools to Counter the Use of Human Shields Act S. 3041 - A bill to reinstate certain sanctions imposed with respect to Iran. H.R. 6046/S. 3912/S. 3347 - Standing Against Houthi Aggression Act H.Res. 786 - Calling for an immediate deescalation and cease-fire in Israel and occupied Palestine. H.R. 6201/S. 3197 - Iranian Sanctions Enforcement Act S.3874. - Hamas and Palestinian Islamic Jihad International Terrorism Support Prevention Act of 2024 H.R. 8282 - Illegitimate Court Counteraction Act H.R. 8038 - 21st Century Peace through Strength Act H.R. 8369- Israel Security Assistance Support Act H.R. 6090 - Antisemitism Awareness Act of 2023 H. Res. 1143- Condemning Irans unprecedented drone and missile attack on Israel H.R. 4691 - Iran Sanctions Relief Review Act H.R.5947 - To provide for the rescission of certain waivers and licenses relating to Iran, and for other purposes. H. R. 6323- Iran Counterterrorism Act of 2023 H.R. 5826 - No Paydays for Hostage-Takers Act H.R. 6015 - Iran Sanctions Accountability Act H.R. 6245 - Holding Iranian Leaders Accountable Act H.R. 4681 - Illicit Captagon Trafficking Suppression Act of 2023 H.Res. 883 - Expressing the sense of the House of Representatives that the slogan, ""from the river to the sea, Palestine will be free"" is antisemitic and its use must be condemned. H.Res. 288 - Encouraging the EU to DESIGNATE Resolution H.R. 5921 - No U.S. Financing for Iran Act H.R. 5923 - Iran China Energy Sanctions Act H.R. 6408 - To amend the Internal Revenue Code of 1986 to terminate the tax-exempt status of terrorist supporting organizations. H.R. 8437 - Maintaining Our Ironclad Commitment to Israels Security Act H.R. 8001 - Combating Houthi Threats and Aggression Act S.Res.505 - A resolution condemning the use of sexual violence and rape as a weapon of war by the terrorist group Hamas against the people of Israel. H.R. 6603 - No Technology for Terror Act",db033c64-6f06-4019-b7db-caaa264c3f50
