recipient,party,party_source,from_health_focused,focused_items,from_mixed_diversified,mixed_items,name_variants_combined
Rep. Scott H. Peters (D-CA),(D-CA),members-table,220900.0,100,183400.0,71,3
Sen. Marsha Blackburn (R-TN),(R-TN),members-table,264022.0,56,133000.0,49,3
Rep. Richard Hudson (R-NC),(R-NC),members-table,228500.0,88,156700.0,59,3
Rep. David G. Valadao (R-CA),(R-CA),members-table,342398.0,22,34000.0,16,1
Susan Wild,,,367750.0,11,0.0,0,1
Sen. Thom Tillis (R-NC),(R-NC),members-table,228300.0,69,135667.0,47,3
Chc Bold PAC,,,232000.0,53,125450.0,30,1
Rep. Mike Johnson (R-LA),(R-LA),members-table,223000.0,56,132000.0,28,2
Rep. Suzan K. DelBene (D-WA),(D-WA),members-table,234000.0,94,119000.0,45,4
Sen. Mike Crapo (R-ID),(R-ID),members-table,249000.0,76,103500.0,38,4
Rep. Vern Buchanan (R-FL),(R-FL),members-table,272324.0,82,80000.0,33,3
Dan Kildee,,,333132.0,17,0.0,0,1
Rep. Don Bacon (R-NE),(R-NE),members-table,323076.0,11,0.0,0,1
New Democrat Coalition Action Fund,,,195525.0,45,120000.0,25,1
Sen. Todd Young (R-IN),(R-IN),members-table,218500.0,83,94400.0,41,3
Rep. John Joyce (R-PA),(R-PA),members-table,205750.0,109,103500.0,50,2
Sen. John Cornyn (R-TX),(R-TX),members-table,186000.0,72,122000.0,41,2
"Rep. Earl L. ""Buddy"" Carter (R-GA)",(R-GA),members-table,203500.0,87,97500.0,41,4
Members Of The Congressional Black Caucus,,,0.0,0,300000.0,5,1
Sen. Tim Scott (R-SC),(R-SC),members-table,207400.0,53,90900.0,30,4
Sen. Lisa Blunt Rochester (D-DE),(D-DE),members-table,214300.0,121,83750.0,43,3
Sen. Markwayne Mullin,,,210250.0,106,81900.0,36,2
Sen. John Barrasso (R-WY),(R-WY),members-table,162000.0,59,129500.0,45,3
Sen. Deb Fischer (R-NE),(R-NE),members-table,265440.0,9,25000.0,13,2
Sen. Jacky Rosen (D-NV),(D-NV),members-table,193750.0,81,90025.0,45,2
Rep. Tom Emmer (R-MN),(R-MN),members-table,142200.0,59,140000.0,44,2
Rep. Brian K. Fitzpatrick (R-PA),(R-PA),members-table,176500.0,96,103000.0,45,3
Sen. Mitch McConnell (R-KY),(R-KY),members-table,195800.0,54,82140.0,23,2
Sen. Kyrsten Sinema (I-AZ),(I-AZ),manual,195830.0,75,82000.0,31,2
Blue Dog Political Action Committee,,,176000.0,39,97500.0,23,1
Sen. Charles E. Schumer (D-NY),(D-NY),members-table,223750.0,63,47500.0,10,4
Sen. Catherine Cortez Masto (D-NV),(D-NV),members-table,206750.0,49,64250.0,18,2
Rep. Kevin Hern (R-OK),(R-OK),members-table,201050.0,114,68000.0,39,4
Sen. Tim Kaine (D-VA),(D-VA),members-table,168300.0,75,96000.0,36,2
Rep. Darren Soto (D-FL),(D-FL),members-table,241500.0,83,22000.0,14,3
Sen. Susan M. Collins (R-ME),(R-ME),members-table,165500.0,69,92000.0,33,3
Democratic Members Of The House,,,255000.0,11,0.0,0,1
Republican Members Of The Senate,,,255000.0,10,0.0,0,1
Republican Members Of The House,,,255000.0,12,0.0,0,1
Democratic Members Of The Senate,,,255000.0,10,0.0,0,1
Sen. Jon Tester (D-MT),(D-MT),manual,181000.0,75,70500.0,28,2
Rep. Randy Feenstra (R-IA),(R-IA),members-table,250842.0,77,0.0,0,3
Sponsorship Of The Gershwin Prize,,,0.0,0,250000.0,1,1
Sponsorship Of The 2025 Nso Pops Season,,,0.0,0,250000.0,1,1
Sponsorship Of The Nso Pops Season (Payment 2 Of 2),,,0.0,0,250000.0,1,1
Sen. Steve Daines (R-MT),(R-MT),members-table,179500.0,68,69000.0,22,3
Rep. S. Brett Guthrie,,,175000.0,58,72000.0,27,1
Sen. Ron Wyden (D-OR),(D-OR),members-table,224500.0,77,21500.0,13,3
Rep. Robin L. Kelly (D-IL),(D-IL),members-table,179900.0,100,66000.0,38,3
Congressional Black Caucus Institute,,,0.0,0,245000.0,4,1
Rep. Angie Craig (D-MN),(D-MN),members-table,123800.0,58,119880.0,60,3
Moderate Democrats PAC,,,192500.0,37,50000.0,10,1
Rep. Darin LaHood (R-IL),(R-IL),members-table,156000.0,64,79000.0,33,2
Sen. Patty Murray (D-WA),(D-WA),members-table,180300.0,83,50500.0,27,3
Sen. Mark R. Warner (D-VA),(D-VA),members-table,161800.0,63,65800.0,23,3
Congressional Black Caucus PAC,,,188500.0,48,38000.0,9,1
Natl Rep. Sen. Cmte(Nrsc)-Federal Acct,,,132500.0,12,90000.0,6,1
Congressional Hispanic Leadership Institute,,,0.0,0,220000.0,7,1
Rep. Raul Ruiz (D-CA),(D-CA),members-table,145000.0,60,72500.0,34,2
Rep. Steven Horsford (D-NV),(D-NV),members-table,126500.0,77,79000.0,33,2
"The Honorable Debbie Dingell, The Honorable Richard Hudson, The Honorable Cynthia Lummis, The Honorable Ritchie Torres, The Honorable Ben Ray Lujan",,,200000.0,3,0.0,0,1
Rep. Steny H. Hoyer (D-MD),(D-MD),members-table,115000.0,32,84000.0,23,2
Rep. Blake D. Moore (R-UT),(R-UT),members-table,123250.0,71,75500.0,32,2
Rep. Donald G. Davis (D-NC),(D-NC),members-table,87250.0,46,109000.0,53,3
Sen. John R. Curtis (R-UT),(R-UT),members-table,147250.0,70,45000.0,32,2
Rep. Bryan Steil (R-WI),(R-WI),members-table,191921.0,25,0.0,0,2
Rep. Gus M. Bilirakis (R-FL),(R-FL),members-table,99500.0,58,91000.0,44,2
"2023 Ama Awards For Outstanding Government Service. Six Honorees, 3 Covered Officials: Us Rep. Kevin Brady, Raul Gupta, Md, Director Ondcp, And Wendell Primus, Speaker Pelosi'S Snr Policy Advisor",,,0.0,0,190216.0,1,1
"2025 Ama Awards For Outstanding Government Service. Five Honorees, Two Covered Officials: U.S. Rep. Neal Dunn, Md, And Presidential Appointee Maj. Gen. (Ret.) Paul Friedrichs, Md",,,0.0,0,188710.0,1,1
NRCC (Building Fund),,,125500.0,10,60000.0,4,1
Rep. Mike Carey (R-OH),(R-OH),members-table,151250.0,82,32500.0,17,2
Rep. Josh Gottheimer (D-NJ),(D-NJ),members-table,98500.0,49,84500.0,41,2
Rep. James E. Clyburn (D-SC),(D-SC),members-table,53000.0,12,129000.0,38,2
Rep. Bradley Scott Schneider (D-IL),(D-IL),members-table,114000.0,54,66000.0,28,2
Rep. Troy Balderson (R-OH),(R-OH),members-table,128000.0,65,49500.0,18,2
Natl Rep. Cong Cmte(Nrcc)-Federal Acct,,,100000.0,7,75000.0,5,1
Rep. Adrian Smith (R-NE),(R-NE),members-table,109000.0,59,63500.0,42,2
"2024 Ama Awards For Outstanding Government Service. Six Honorees, One Covered Official: Us Rep. Larry Bucshon, Md",,,0.0,0,171200.0,1,1
NRSC (Building Fund),,,109000.0,10,60000.0,4,1
Rep. Hakeem S. Jeffries (D-NY),(D-NY),members-table,163300.0,55,0.0,0,2
DSCC (Building Fund),,,101500.0,10,60000.0,4,1
Rep. Mike Thompson (D-CA),(D-CA),members-table,102000.0,39,58500.0,27,2
Members Of The Congressional Hispanic Conference,,,0.0,0,160000.0,4,1
Sen. Roger Marshall (R-KS),(R-KS),members-table,79900.0,32,79500.0,36,3
Aspire PAC,,,113500.0,29,45000.0,12,1
DCCC (Building Fund),,,98000.0,13,60000.0,4,1
Rep. H. Morgan Griffith (R-VA),(R-VA),members-table,98500.0,50,59500.0,23,3
Sen. Christopher A. Coons (D-DE),(D-DE),members-table,85400.0,30,69000.0,32,3
Sen. Katie Boyd Britt (R-AL),(R-AL),members-table,128321.0,29,22500.0,9,2
Linda Sanchez,,,119000.0,60,30000.0,12,2
Rep. Kevin Mullin (D-CA),(D-CA),members-table,109000.0,53,36000.0,15,2
Rep. Ann Mclane Kuster,,,109000.0,40,35500.0,23,1
Rep. Neal P. Dunn (R-FL),(R-FL),members-table,97500.0,56,46500.0,33,3
Rep. Diana DeGette (D-CO),(D-CO),members-table,55100.0,26,87000.0,37,3
Rep. Claudia Tenney (R-NY),(R-NY),members-table,136927.0,48,0.0,0,2
Rep. David Schweikert (R-AZ),(R-AZ),members-table,114500.0,72,22000.0,16,2
Sen. Martin Heinrich (D-NM),(D-NM),members-table,108500.0,50,27000.0,20,2
Sen. Gary C. Peters (D-MI),(D-MI),members-table,109000.0,41,26500.0,12,2
Sen. Tammy Baldwin (D-WI),(D-WI),members-table,132982.0,37,0.0,0,2
Elect Democratic Women,,,76170.0,20,56335.0,14,1
Republican Governance Group/Tuesday Group PAC,,,92500.0,21,40000.0,10,1
Dem Cong Camp Cmte(Dccc)-Federal Acct,,,87500.0,7,45000.0,3,1
Republican Mainstreet Partnership PAC,,,85000.0,18,45000.0,13,1
Rep. Tony Cardenas,,,72000.0,25,55500.0,31,2
Across The Aisle PAC,,,90000.0,23,36500.0,12,1
Building Bridges PAC,,,88500.0,26,36500.0,15,1
Sponsorship Of The National Archives Congressional Open House And A Two-Year Silver Level Corporate Council Membership,,,0.0,0,125000.0,1,1
Rep. Jodey C. Arrington (R-TX),(R-TX),members-table,91500.0,51,32500.0,20,2
Equality PAC,,,90000.0,24,33000.0,9,1
Rep. Jay Obernolte (R-CA),(R-CA),members-table,91050.0,55,30000.0,21,2
Sen. Jerry Moran (R-KS),(R-KS),members-table,60500.0,20,56000.0,27,3
Brad Schneider,,,76500.0,37,38500.0,23,1
Rep. Jimmy Panetta (D-CA),(D-CA),members-table,40000.0,19,75000.0,36,3
Rep. Andrew R. Garbarino (R-NY),(R-NY),members-table,47000.0,33,67022.0,14,2
Rep. Elise M. Stefanik (R-NY),(R-NY),members-table,48500.0,20,65500.0,21,3
Sen. Shelley Moore Capito (R-WV),(R-WV),members-table,84500.0,33,27500.0,24,1
Republican Main Street Partnership,,,0.0,0,110000.0,3,1
Nanette Barragan,,,109500.0,52,0.0,0,2
Sen. Alex Padilla (D-CA),(D-CA),members-table,108500.0,32,0.0,0,2
DSCC (Recount And Legal Fund),,,107750.0,15,0.0,0,1
Future Forum PAC,,,70833.0,45,35000.0,9,1
Sen. Ted Budd (R-NC),(R-NC),members-table,52000.0,19,53800.0,19,2
NRCC (Recount And Legal Fund),,,105000.0,5,0.0,0,1
National Republican Congressional Committee (Nrcc),,,105000.0,7,0.0,0,1
Rep. Marc A. Veasey (D-TX),(D-TX),members-table,45500.0,25,58500.0,31,2
Rep. Carol D. Miller (R-WV),(R-WV),members-table,103000.0,47,0.0,0,2
Senate Republicans,,,100000.0,1,0.0,0,1
"Sponsorship Of The Program ""From Her Lens: Perspectives On Race""",,,0.0,0,100000.0,1,1
Sponsorship Of The Gershwin Prize For Popular Song Event,,,0.0,0,100000.0,1,1
Sponsorship Of The Hip Hop Block Party,,,0.0,0,100000.0,1,1
Sponsorship Of The Women'S E3 Summit (Payment 1 Of 2),,,0.0,0,100000.0,1,1
Members Of The Congressional Asian Pacific American Caucus,,,0.0,0,100000.0,1,1
"Sponsorship Of The 2024 Women'S Summit ""Lifting As We Climb Mentoring And Motivating""",,,0.0,0,100000.0,1,1
Ronald Reagan,,,0.0,0,100000.0,1,1
Sponsorship Of The Women'S E3 Summit (Payment 2 Of 2),,,0.0,0,100000.0,1,1
Rep. Robert Menendez (D-NJ),(D-NJ),members-table,49250.0,23,50000.0,25,2
Various Democratic Congressional Candidates,,,0.0,0,98500.0,27,1
Rep. Joyce Beatty (D-OH),(D-OH),members-table,54000.0,30,44000.0,24,1
Sen. Kevin Cramer (R-ND),(R-ND),members-table,95551.0,9,0.0,0,1
National Republican Senatorial,,,95000.0,7,0.0,0,1
Rep. Marilyn Strickland (D-WA),(D-WA),members-table,95000.0,53,0.0,0,2
Larry Bucshon,,,56500.0,26,37000.0,18,1
Democratic Congressional Campaign Committee (Dccc),,,92500.0,7,0.0,0,1
Rep. Ami Bera (D-CA),(D-CA),members-table,38000.0,18,54000.0,23,2
"Jeffries, Hakeem",,,91000.0,19,0.0,0,1
Sen. James Lankford (R-OK),(R-OK),members-table,46500.0,19,44000.0,21,1
Sponsorship And Support Of The 2022 Library Of Congress National Book Festival,,,0.0,0,90000.0,1,1
Board Of Directors Of The Congressional Hispanic Caucus Institute,,,85000.0,1,0.0,0,1
National Republican Senatorial Committee (Nrsc),,,85000.0,7,0.0,0,1
Rep. Mike Johnson; NRCC,,,0.0,0,85000.0,4,1
Sen. Eric Schmitt (R-MO),(R-MO),members-table,84349.0,30,0.0,0,2
Sen. Roger F. Wicker (R-MS),(R-MS),members-table,58000.0,21,23500.0,16,1
Rep. G. Mike J. Kelly,,,54500.0,27,27000.0,17,1
Sen. Marco Antonio Rubio,,,53500.0,16,28000.0,11,1
Sen. John Boozman (R-AR),(R-AR),members-table,0.0,0,81192.0,28,2
Sen. Rick Scott (R-FL),(R-FL),members-table,48000.0,13,32500.0,7,1
"Guthrie, Brett",,,80000.0,22,0.0,0,1
Sen. Tammy Baldwin: Wi Us Senate,,,80000.0,1,0.0,0,1
"Mccarthy, Kevin",,,79500.0,11,0.0,0,1
Rep. Brad R. Wenstrup,,,38500.0,13,40000.0,18,1
Democratic Senatorial Campaign Committee (Dscc),,,77000.0,7,0.0,0,1
Rep. Nanette Diaz Barragan,,,52000.0,27,25000.0,14,1
Sen. Jon Husted (R-OH),(R-OH),members-table,45500.0,12,31000.0,12,1
Rep. Kim Schrier (D-WA),(D-WA),members-table,0.0,0,76253.0,23,2
Rep. Bonnie Watson Coleman (D-NJ),(D-NJ),members-table,43000.0,18,33000.0,21,2
Rep. Mariannette Jane Miller-Meeks,,,36500.0,19,39000.0,16,1
Various,,,75000.0,4,0.0,0,1
Sheila Jackson Lee,,,75000.0,1,0.0,0,1
"Rep. Virginia Foxx, Sen. Ben Lujan, Sen. Cynthia Lummis, Rep. Ritchie Torres, Rep. Debbie Dingell",,,0.0,0,75000.0,1,1
Jill Biden,,,0.0,0,75000.0,3,1
Rep. John B. Larson (D-CT),(D-CT),members-table,74500.0,13,0.0,0,1
Rep. Erin Houchin (R-IN),(R-IN),members-table,74250.0,43,0.0,0,2
"Smith, Jason",,,73500.0,22,0.0,0,1
Democratic Congressional Campa,,,72500.0,4,0.0,0,1
Rep. Diana Harshbarger (R-TN),(R-TN),members-table,43520.0,23,28500.0,17,2
Rep. Debbie Wasserman Schultz (D-FL),(D-FL),members-table,43000.0,16,29000.0,12,1
"Neal, Richard",,,71500.0,19,0.0,0,1
Sen. Chuck Grassley (R-IA),(R-IA),members-table,50000.0,22,21500.0,11,1
"2022 Ama Awards For Outstanding Government Service. Seven Honorees, One Covered Official: U.S. Senator Roy Blunt",,,0.0,0,71168.0,1,1
Rep. Virginia Foxx (R-NC),(R-NC),members-table,37000.0,13,34000.0,17,1
Rep. Lori Trahan (D-MA),(D-MA),members-table,70600.0,23,0.0,0,1
Sen. Joni Ernst (R-IA),(R-IA),members-table,45500.0,17,25000.0,14,1
"The Honorable Joe Biden, Carla Hayden, Terri Sewell, Joyce Beatty, Troy Carter, Glenn Ivey, Robin Kelly, Lucy Mcbath, Stacey Plaskett, Frederica Wilson",,,70000.0,1,0.0,0,1
NRSC (Recount And Legal Fund),,,70000.0,5,0.0,0,1
"The Honorable Terri Sewell, Joyce Beatty, Troy Carter, Glenn Ivey, Robin Kelly, Lucy Mcbath, Stacey Plaskett, Frederica Wilson",,,70000.0,1,0.0,0,1
Sponsorship Of The Chairman'S Level Membership,,,0.0,0,70000.0,2,1
Sponsorship Of The 2024 National Book Festival,,,0.0,0,70000.0,1,1
Rep. Steve Womack (R-AR),(R-AR),members-table,0.0,0,68000.0,16,2
"Emmer, Tom",,,67500.0,14,0.0,0,1
Sen. Mitt Romney (R-UT),(R-UT),manual,46000.0,12,21000.0,8,1
Sen. Mike Lee (R-UT),(R-UT),members-table,37500.0,12,28500.0,9,1
"Rep. A. Drew Ferguson, Iv",,,36000.0,17,30000.0,14,1
Rep. Tom Cole (R-OK),(R-OK),members-table,0.0,0,65300.0,28,2
"The Honorable Rick Scott, The Honorable Amy Klobuchar, The Honorable Drew Ferguson, The Honorable Ruben Gallego",,,65000.0,1,0.0,0,1
Rep. Aaron Bean (R-FL),(R-FL),members-table,65000.0,37,0.0,0,1
Dem Sen. Camp Cmte(Dscc)-Federal Acct,,,63000.0,11,0.0,0,1
Rep. Jake Auchincloss (D-MA),(D-MA),members-table,62500.0,28,0.0,0,1
Rep. Robert E. Latta (R-OH),(R-OH),members-table,36000.0,29,26500.0,15,2
Membership Dues,,,0.0,0,61800.0,5,1
Rep. Linda T. Sanchez,,,61500.0,23,0.0,0,1
Rep. Michelle Park Steel,,,38500.0,24,23000.0,15,1
Kermit Jones,,,0.0,0,60648.0,6,1
Rep. August Pfluger (R-TX),(R-TX),members-table,37500.0,20,22600.0,6,2
DCCC (Recount And Legal Fund),,,60000.0,4,0.0,0,1
Rep. Anna Eshoo (D-CA),(D-CA),manual,38000.0,16,22000.0,10,2
Sponsorship Of The Annual Cbcf Legislative Conference. Entity Controlled By Covered Officials,,,0.0,0,60000.0,1,1
Sponsorship Of The Leadership Institute Programs,,,0.0,0,60000.0,1,1
Sponsorship Of The 2023 Alc Phoenix Awards Dinner And The 2023 Economic Summit Series,,,0.0,0,60000.0,1,1
"Clyburn, James",,,59500.0,15,0.0,0,1
Rep. Ron Estes (R-KS),(R-KS),members-table,0.0,0,59500.0,35,1
Rep. David Rouzer (R-NC),(R-NC),members-table,0.0,0,59400.0,27,2
Congressional Hispanic Caucus,,,58500.0,4,0.0,0,1
Rep. Young Kim (R-CA),(R-CA),members-table,37000.0,18,21500.0,12,2
Sen. Jeanne Shaheen (D-NH),(D-NH),members-table,57000.0,23,0.0,0,1
"Buchanan, Vern",,,56000.0,15,0.0,0,1
"Sponsorship Of The Alc Phoenix Awards, Prayer Breakfast, And Annual Legislative Conference",,,0.0,0,55000.0,1,1
Donation,,,0.0,0,55000.0,5,1
Rep. Ann Wagner (R-MO),(R-MO),members-table,54000.0,19,0.0,0,1
Sen. Sherrod Brown (D-OH),(D-OH),manual,54000.0,23,0.0,0,1
"Thune, John",,,53500.0,14,0.0,0,1
"Pallone, Frank",,,53500.0,19,0.0,0,1
"Crapo, Mike",,,53000.0,12,0.0,0,1
"Mcmorris Rodgers, Cathy",,,53000.0,14,0.0,0,1
Rep. Sharice Davids (D-KS),(D-KS),members-table,52750.0,29,0.0,0,1
"Cortez Masto, Catherine",,,52500.0,11,0.0,0,1
"Clark, Katherine",,,51000.0,17,0.0,0,1
Rep. Xavier Becerra,,,50000.0,1,0.0,0,1
House New Democrat Coalition Democrats,,,50000.0,1,0.0,0,1
"$5,000 John Thune; $4,453.44 Each Bernie Moreno, Deb Fischer, Larry Hogan, Jim Justice; $27,186.24 NRSC",,,50000.0,1,0.0,0,1
Mod Squad Senate Democrats,,,50000.0,1,0.0,0,1
Rep. Gus Bilirakis; Fl-12 Us House,,,50000.0,1,0.0,0,1
Republican National Committee,,,50000.0,8,0.0,0,1
"Mike Crapo, Michael Bennet, Terri Sewell, Jodey Arrington, Raul Ruiz, Richard Hudson",,,50000.0,1,0.0,0,1
The Board Of Directors Of The Chc Institute,,,50000.0,1,0.0,0,1
House Republicans,,,50000.0,1,0.0,0,1
House Blue Dog Democrats,,,50000.0,1,0.0,0,1
"The Honorable Bob Latta, Robin Kelly, Rick Scott, Dan Goldman, Greg Landsman, Sanford Bishop",,,50000.0,1,0.0,0,1
The Board Of Directors Of The CBC Foundation,,,50000.0,1,0.0,0,1
The Congressional Hispanic Caucus Institute,,,50000.0,1,0.0,0,1
"Rep. Richard Hudson, Sen. Cynthia Lummis, Sen. Joe Manchin",,,0.0,0,50000.0,1,1
Donation To The American Women'S History Museum,,,0.0,0,50000.0,1,1
Donation For American Women'S History Museum Founding Donor,,,0.0,0,50000.0,1,1
Donation To The General Gift Support Fund,,,0.0,0,50000.0,1,1
Healthcare Freedom Super PAC,,,0.0,0,50000.0,1,1
Sponsorship Of The See Me At The Smithsonian,,,0.0,0,50000.0,1,1
Rep. Debbie Dingell (D-MI),(D-MI),members-table,49500.0,27,0.0,0,1
Rep. Kat Cammack (R-FL),(R-FL),members-table,49000.0,26,0.0,0,1
Rep. Deborah K. Ross (D-NC),(D-NC),members-table,0.0,0,48500.0,30,2
Sen. Tina Smith (D-MN),(D-MN),members-table,48000.0,18,0.0,0,1
Rep. Elizabeth Ann Van Duyne,,,48000.0,22,0.0,0,1
Michelle Steel,,,48000.0,23,0.0,0,1
"Aguilar, Pete",,,47500.0,15,0.0,0,1
Rep. Jimmy Gomez (D-CA),(D-CA),members-table,47500.0,24,0.0,0,1
Rep. Frank J. Mrvan (D-IN),(D-IN),members-table,46500.0,28,0.0,0,1
"Daines, Steve",,,46000.0,14,0.0,0,1
Greg Abbott,,,46000.0,3,0.0,0,1
Rep. Michelle Fischbach (R-MN),(R-MN),members-table,45250.0,24,0.0,0,1
"Schumer, Charles",,,45000.0,10,0.0,0,1
Sen. Tammy Duckworth (D-IL),(D-IL),members-table,45000.0,13,0.0,0,1
"Scalise, Steve",,,45000.0,10,0.0,0,1
Value In Electing Women Political Action Committee,,,0.0,0,45000.0,14,1
"Sponsorship Of The Hhm Leadership Conference, 2025 Annual Awards Gala And The 2025 Tech Summit",,,0.0,0,45000.0,1,1
"Sponsorship Of The Gala-Advocate Circle, The Leadership Conference And The Swearing-In Ceremony",,,0.0,0,45000.0,1,1
Sen. Rand Paul (R-KY),(R-KY),members-table,44500.0,13,0.0,0,1
Rep. Adam Smith (D-WA),(D-WA),members-table,44500.0,12,0.0,0,1
Rep. Mikie Sherrill,,,44000.0,27,0.0,0,1
Rep. Patrick McHenry (R-NC),(R-NC),manual,0.0,0,43885.0,13,1
Connecticut Democratic State Central Committee,,,43000.0,12,0.0,0,1
Covered Officials On The CHCI Board,,,42500.0,2,0.0,0,1
The Honorable Pete Aguilar,,,0.0,0,42500.0,11,1
Rep. Ashley Hinson (R-IA),(R-IA),members-table,0.0,0,42000.0,19,1
Rep. Rudy Yakym III (R-IN),(R-IN),members-table,41750.0,25,0.0,0,1
"Hudson, Richard",,,41500.0,13,0.0,0,1
Maggie Hassan,,,41500.0,14,0.0,0,1
Sen. Tom Cotton (R-AR),(R-AR),members-table,0.0,0,41500.0,14,1
Rep. Yvette D. Clarke (D-NY),(D-NY),members-table,41000.0,16,0.0,0,1
Rep. Nancy Pelosi (D-CA),(D-CA),members-table,41000.0,11,0.0,0,1
Greg Pence,,,40500.0,24,0.0,0,1
Sen. Jim Banks (R-IN),(R-IN),members-table,40500.0,13,0.0,0,1
The Honorable Brian Babin,,,0.0,0,40250.0,9,1
Sen. R Jon Tester,,,40000.0,2,0.0,0,1
The Honorable Frank Pallone,,,0.0,0,40000.0,11,1
Rncc,,,0.0,0,40000.0,2,1
Sponsorship Of The 2023 Leadership Conference And Gala Partnership,,,0.0,0,40000.0,1,1
Rep. Kevin Mccarthy; NRCC,,,0.0,0,40000.0,2,1
Sponsorship Of The Annual CHCI Leadership Conference And CHCI Swearing-In Ceremony. Entity Controlled By Covered Officials,,,0.0,0,40000.0,1,1
Rep. Grace Meng (D-NY),(D-NY),members-table,39500.0,16,0.0,0,1
Rep. Haley M. Stevens (D-MI),(D-MI),members-table,39000.0,21,0.0,0,1
Rep. Guy Reschenthaler (R-PA),(R-PA),members-table,38500.0,18,0.0,0,1
"Sewell, Terri",,,38500.0,13,0.0,0,1
Rep. Mike Bost (R-IL),(R-IL),members-table,0.0,0,38500.0,16,1
Drew Ferguson,,,38000.0,19,0.0,0,1
Chris Coons,,,38000.0,16,0.0,0,1
Rep. Nicole Malliotakis (R-NY),(R-NY),members-table,38000.0,24,0.0,0,1
Rep. Mike Kelly (R-PA),(R-PA),members-table,37500.0,17,0.0,0,1
Rep. W. Gregory Steube (R-FL),(R-FL),members-table,37500.0,23,0.0,0,1
"Cornyn, John",,,37500.0,10,0.0,0,1
"Sinema, Kyrsten",,,37000.0,12,0.0,0,1
Rep. Mary Gay Scanlon (D-PA),(D-PA),members-table,37000.0,19,0.0,0,1
"Hern, Kevin",,,36500.0,12,0.0,0,1
Rep. Doris O. Matsui (D-CA),(D-CA),members-table,36000.0,16,0.0,0,1
The Honorable Brett Guthrie,,,0.0,0,35500.0,11,1
The Honorable Andrew Garbarino,,,0.0,0,35000.0,8,1
Chairman'S Level Sponsorship,,,0.0,0,35000.0,1,1
Sponsorship Of Chairman'S Level Membership,,,0.0,0,35000.0,1,1
Sponsorship Of The Chairman'S Level Contribution. (Entity Controlled By Covered Officials),,,0.0,0,35000.0,1,1
Rep. David Scott (D-GA),(D-GA),members-table,0.0,0,34240.0,17,1
Rep. James Comer (R-KY),(R-KY),members-table,0.0,0,34000.0,12,1
"Rep. Sanford D. Bishop, Jr. (D-GA)",(D-GA),members-table,0.0,0,34000.0,11,1
Rep. Larry Dean Bucshon,,,0.0,0,33500.0,17,1
Rep. Jack Bergman (R-MI),(R-MI),members-table,0.0,0,33500.0,13,1
Rep. David P. Joyce (R-OH),(R-OH),members-table,0.0,0,33500.0,20,1
Rep. J. Luis Correa (D-CA),(D-CA),members-table,0.0,0,33000.0,19,1
The Honorable Richard Hudson,,,0.0,0,32500.0,11,1
Wonder Women PAC,,,0.0,0,30750.0,8,1
The Honorable Mike Simpson,,,0.0,0,30500.0,7,1
